device,room,weather_type,date,from_time,to_time,time,no_of_people,time_stayed_mins,power,target
Computer,100,very cold,2018-01-31,09:00:00,10:00:00,morning,8,32,448,0
Computer,100,cold,2018-01-31,14:00:00,15:00:00,afternoon,7,6,380,1
Computer,100,very cold,2018-01-31,15:00:00,16:00:00,afternoon,5,11,447,0
Computer,100,very hot,2018-01-31,16:00:00,17:00:00,evening,12,57,419,0
Computer,100,cold,2018-01-31,22:00:00,23:00:00,night,11,43,428,0
Heater,100,very hot,2018-01-19,00:00:00,01:00:00,midnight,15,17,2456,0
Heater,100,cold,2018-01-19,01:00:00,02:00:00,midnight,6,21,2944,0
Heater,100,hot,2018-01-19,01:00:00,02:00:00,midnight,1,52,2444,0
Heater,100,cold,2018-01-19,03:00:00,04:00:00,midnight,11,35,1918,1
Heater,100,low cold,2018-01-19,05:00:00,06:00:00,early morning,0,0,1763,1
Heater,100,low hot,2018-01-19,06:00:00,07:00:00,early morning,0,0,2353,0
Heater,100,very cold,2018-01-19,07:00:00,08:00:00,morning,5,37,2213,0
Heater,100,hot,2018-01-19,09:00:00,10:00:00,morning,11,8,2717,0
Heater,100,cold,2018-01-19,10:00:00,11:00:00,morning,9,30,2000,1
Heater,100,low cold,2018-01-19,15:00:00,16:00:00,afternoon,11,13,2812,0
Heater,100,low hot,2018-01-19,18:00:00,19:00:00,evening,3,4,2498,0
Heater,100,very hot,2018-01-19,18:00:00,19:00:00,evening,2,33,2934,0
Heater,100,low hot,2018-01-20,02:00:00,03:00:00,midnight,13,23,2260,0
Heater,100,very hot,2018-01-20,02:00:00,03:00:00,midnight,2,37,2173,1
Heater,100,very hot,2018-01-20,04:00:00,05:00:00,early morning,8,26,1559,1
Heater,100,low cold,2018-01-20,08:00:00,09:00:00,morning,6,23,2282,1
Heater,100,very cold,2018-01-20,09:00:00,10:00:00,morning,9,41,2489,0
Heater,100,very cold,2018-01-20,20:00:00,21:00:00,night,7,32,1884,1
Heater,100,cold,2018-01-21,00:00:00,01:00:00,midnight,6,35,2938,0
Heater,100,hot,2018-01-21,01:00:00,02:00:00,midnight,13,48,2637,0
Heater,100,low hot,2018-01-21,03:00:00,04:00:00,midnight,11,35,2252,0
Heater,100,cold,2018-01-21,04:00:00,05:00:00,early morning,4,13,1811,0
Heater,100,low cold,2018-01-21,10:00:00,11:00:00,morning,5,34,1797,1
Heater,100,very hot,2018-01-21,16:00:00,17:00:00,evening,6,54,2372,0
Heater,100,hot,2018-01-21,22:00:00,23:00:00,night,15,47,1830,1
Heater,100,low cold,2018-01-21,22:00:00,23:00:00,night,7,34,2519,0
Heater,100,low hot,2018-01-22,00:00:00,01:00:00,midnight,7,53,2985,0
Heater,100,low hot,2018-01-22,03:00:00,04:00:00,midnight,12,44,2736,0
Heater,100,low cold,2018-01-22,08:00:00,09:00:00,morning,0,0,2181,1
Heater,100,very hot,2018-01-22,11:00:00,12:00:00,morning,8,1,1866,1
Heater,100,cold,2018-01-22,11:00:00,12:00:00,morning,9,43,1992,1
Heater,100,cold,2018-01-22,12:00:00,13:00:00,afternoon,10,37,2231,1
Heater,100,low cold,2018-01-22,14:00:00,15:00:00,afternoon,4,27,1900,1
Heater,100,low hot,2018-01-22,18:00:00,19:00:00,evening,10,50,2423,0
Lights,100,low hot,2018-01-05,04:00:00,05:00:00,early morning,10,56,1900,0
Lights,100,cold,2018-01-05,06:00:00,07:00:00,early morning,1,5,1312,1
Lights,100,cold,2018-01-05,11:00:00,12:00:00,morning,2,23,1338,1
Lights,100,low hot,2018-01-05,19:00:00,20:00:00,night,2,33,1400,1
Lights,100,hot,2018-01-05,21:00:00,22:00:00,night,15,52,1172,1
Lights,100,very cold,2018-01-06,05:00:00,06:00:00,early morning,11,19,1691,0
Lights,100,hot,2018-01-06,07:00:00,08:00:00,morning,2,31,1657,0
Lights,100,hot,2018-01-06,09:00:00,10:00:00,morning,5,9,1798,0
Lights,100,low cold,2018-01-06,10:00:00,11:00:00,morning,0,0,1781,0
Lights,100,very hot,2018-01-06,11:00:00,12:00:00,morning,1,51,1656,0
Lights,100,low hot,2018-01-06,11:00:00,12:00:00,morning,10,38,1309,1
Lights,100,very cold,2018-01-06,12:00:00,13:00:00,afternoon,7,16,1533,0
Lights,100,hot,2018-01-06,19:00:00,20:00:00,night,0,0,1242,1
Lights,100,hot,2018-01-06,20:00:00,21:00:00,night,1,10,1842,0
Lights,100,very cold,2018-01-06,20:00:00,21:00:00,night,9,39,1588,1
Lights,100,low cold,2018-01-06,21:00:00,22:00:00,night,2,49,1677,1
Lights,100,very hot,2018-01-06,22:00:00,23:00:00,night,7,48,1829,0
Lights,100,low hot,2018-01-07,05:00:00,06:00:00,early morning,5,11,1647,0
Lights,100,low cold,2018-01-07,09:00:00,10:00:00,morning,8,18,1662,0
Lights,100,hot,2018-01-07,10:00:00,11:00:00,morning,7,18,1461,1
Lights,100,low hot,2018-01-07,10:00:00,11:00:00,morning,15,56,1393,1
Lights,100,hot,2018-01-07,11:00:00,12:00:00,morning,8,33,1475,0
Lights,100,very hot,2018-01-07,13:00:00,14:00:00,afternoon,5,14,1155,1
Lights,100,low hot,2018-01-07,14:00:00,15:00:00,afternoon,3,23,1782,0
Lights,100,cold,2018-01-07,15:00:00,16:00:00,afternoon,12,38,1151,1
Lights,100,hot,2018-01-07,16:00:00,17:00:00,evening,7,47,1912,0
Lights,100,low hot,2018-01-07,18:00:00,19:00:00,evening,4,52,1001,1
Lights,100,very cold,2018-01-07,19:00:00,20:00:00,night,4,28,1958,0
Lights,100,very hot,2018-01-07,21:00:00,22:00:00,night,13,18,1315,1
Lights,100,low cold,2018-01-07,21:00:00,22:00:00,night,3,27,1242,1
Lights,100,hot,2018-01-08,00:00:00,01:00:00,midnight,14,12,1086,1
Lights,100,cold,2018-01-08,00:00:00,01:00:00,midnight,12,33,1152,1
Lights,100,cold,2018-01-08,05:00:00,06:00:00,early morning,3,21,1880,0
Lights,100,very cold,2018-01-08,06:00:00,07:00:00,early morning,1,28,1227,1
Lights,100,hot,2018-01-08,14:00:00,15:00:00,afternoon,0,0,1241,0
Lights,100,very cold,2018-01-08,15:00:00,16:00:00,afternoon,12,4,1743,0
Lights,100,low cold,2018-01-08,19:00:00,20:00:00,night,4,43,1523,0
Lights,100,very hot,2018-01-08,21:00:00,22:00:00,night,2,36,1951,0
Lights,100,very hot,2018-01-09,03:00:00,04:00:00,midnight,13,51,1195,1
Lights,100,cold,2018-01-09,04:00:00,05:00:00,early morning,5,38,1854,0
Lights,100,very cold,2018-01-09,05:00:00,06:00:00,early morning,1,34,1165,1
Lights,100,cold,2018-01-09,05:00:00,06:00:00,early morning,15,17,1574,1
Lights,100,very cold,2018-01-09,13:00:00,14:00:00,afternoon,12,34,1836,0
Lights,100,very cold,2018-01-09,21:00:00,22:00:00,night,1,13,1985,0
Lights,100,low hot,2018-01-09,22:00:00,23:00:00,night,0,0,1777,0
Microwave,100,low cold,2018-01-23,01:00:00,02:00:00,midnight,2,59,1132,1
Microwave,100,low cold,2018-01-23,02:00:00,03:00:00,midnight,0,0,1889,0
Microwave,100,cold,2018-01-23,06:00:00,07:00:00,early morning,12,41,1696,0
Microwave,100,very cold,2018-01-23,14:00:00,15:00:00,afternoon,11,53,1027,1
Microwave,100,very cold,2018-01-24,00:00:00,01:00:00,midnight,2,31,1463,1
Microwave,100,cold,2018-01-24,00:00:00,01:00:00,midnight,15,14,1439,1
Microwave,100,low hot,2018-01-24,05:00:00,06:00:00,early morning,8,37,1304,1
Microwave,100,very hot,2018-01-24,05:00:00,06:00:00,early morning,3,26,1582,0
Microwave,100,low cold,2018-01-24,10:00:00,11:00:00,morning,1,38,1893,0
Microwave,100,very cold,2018-01-24,12:00:00,13:00:00,afternoon,9,49,1325,1
Microwave,100,hot,2018-01-24,13:00:00,14:00:00,afternoon,3,51,1356,1
Microwave,100,very cold,2018-01-24,17:00:00,18:00:00,evening,1,22,1571,0
Microwave,100,low cold,2018-01-24,18:00:00,19:00:00,evening,14,36,1429,1
Microwave,100,cold,2018-01-24,22:00:00,23:00:00,night,2,39,1450,1
Microwave,100,very hot,2018-01-25,03:00:00,04:00:00,midnight,12,47,1488,0
Microwave,100,low hot,2018-01-25,06:00:00,07:00:00,early morning,13,34,1145,1
Microwave,100,very hot,2018-01-25,06:00:00,07:00:00,early morning,6,24,1233,1
Microwave,100,low cold,2018-01-25,09:00:00,10:00:00,morning,3,2,1839,0
Microwave,100,low cold,2018-01-25,10:00:00,11:00:00,morning,15,8,1257,1
Microwave,100,hot,2018-01-25,12:00:00,13:00:00,afternoon,10,22,1512,0
Microwave,100,low hot,2018-01-25,13:00:00,14:00:00,afternoon,8,38,1821,0
Microwave,100,cold,2018-01-25,14:00:00,15:00:00,afternoon,0,0,1057,1
Microwave,100,cold,2018-01-25,15:00:00,16:00:00,afternoon,0,0,1275,1
Microwave,100,cold,2018-01-25,17:00:00,18:00:00,evening,12,47,1418,1
Microwave,100,very cold,2018-01-25,22:00:00,23:00:00,night,7,8,1594,1
Microwave,100,low cold,2018-01-25,23:00:00,00:00:00,midnight,14,8,1519,0
Microwave,100,very cold,2018-01-26,04:00:00,05:00:00,early morning,2,44,1323,1
Microwave,100,very cold,2018-01-26,10:00:00,11:00:00,morning,4,25,1712,0
Microwave,100,cold,2018-01-26,12:00:00,13:00:00,afternoon,13,50,1512,1
Microwave,100,very cold,2018-01-26,16:00:00,17:00:00,evening,13,8,1061,1
Microwave,100,very cold,2018-01-26,17:00:00,18:00:00,evening,3,43,1494,1
Microwave,100,cold,2018-01-26,18:00:00,19:00:00,evening,5,26,1526,0
Microwave,100,very hot,2018-01-26,18:00:00,19:00:00,evening,9,43,1380,1
Microwave,100,cold,2018-01-26,19:00:00,20:00:00,night,0,0,1223,1
Microwave,100,very hot,2018-01-26,19:00:00,20:00:00,night,4,44,1459,1
Microwave,100,hot,2018-01-26,20:00:00,21:00:00,night,6,4,1159,1
Microwave,100,low cold,2018-01-27,00:00:00,01:00:00,midnight,12,10,1240,1
Microwave,100,hot,2018-01-27,08:00:00,09:00:00,morning,5,43,1959,0
Microwave,100,hot,2018-01-27,20:00:00,21:00:00,night,11,9,1404,0
Microwave,100,very cold,2018-01-27,21:00:00,22:00:00,night,2,25,1280,1
Refridgerator,100,cold,2018-01-14,10:00:00,11:00:00,morning,9,36,127,1
Refridgerator,100,cold,2018-01-14,11:00:00,12:00:00,morning,11,10,285,0
Refridgerator,100,hot,2018-01-14,12:00:00,13:00:00,afternoon,11,5,138,1
Refridgerator,100,cold,2018-01-14,16:00:00,17:00:00,evening,3,57,147,1
Refridgerator,100,cold,2018-01-14,21:00:00,22:00:00,night,2,13,208,1
Refridgerator,100,very cold,2018-01-15,04:00:00,05:00:00,early morning,3,48,211,1
Refridgerator,100,very cold,2018-01-15,05:00:00,06:00:00,early morning,12,58,174,1
Refridgerator,100,low cold,2018-01-15,06:00:00,07:00:00,early morning,0,0,284,0
Refridgerator,100,very cold,2018-01-15,07:00:00,08:00:00,morning,13,30,164,1
Refridgerator,100,very cold,2018-01-15,09:00:00,10:00:00,morning,8,7,126,1
Refridgerator,100,very cold,2018-01-15,10:00:00,11:00:00,morning,0,0,116,1
Refridgerator,100,very hot,2018-01-15,11:00:00,12:00:00,morning,5,31,215,0
Refridgerator,100,very cold,2018-01-15,11:00:00,12:00:00,morning,1,15,248,0
Refridgerator,100,low hot,2018-01-15,11:00:00,12:00:00,morning,2,39,225,0
Refridgerator,100,low cold,2018-01-15,12:00:00,13:00:00,afternoon,12,15,106,1
Refridgerator,100,hot,2018-01-15,12:00:00,13:00:00,afternoon,4,45,285,0
Refridgerator,100,low hot,2018-01-15,21:00:00,22:00:00,night,4,31,230,0
Refridgerator,100,hot,2018-01-16,01:00:00,02:00:00,midnight,9,15,151,1
Refridgerator,100,hot,2018-01-16,05:00:00,06:00:00,early morning,7,41,214,0
Refridgerator,100,very cold,2018-01-16,08:00:00,09:00:00,morning,4,19,140,1
Refridgerator,100,hot,2018-01-16,08:00:00,09:00:00,morning,7,34,147,0
Refridgerator,100,low cold,2018-01-16,10:00:00,11:00:00,morning,12,35,205,1
Refridgerator,100,low cold,2018-01-16,12:00:00,13:00:00,afternoon,13,6,120,1
Refridgerator,100,very cold,2018-01-16,12:00:00,13:00:00,afternoon,10,21,199,0
Refridgerator,100,very cold,2018-01-16,13:00:00,14:00:00,afternoon,1,57,170,1
Refridgerator,100,very cold,2018-01-16,15:00:00,16:00:00,afternoon,15,43,293,0
Refridgerator,100,very cold,2018-01-16,16:00:00,17:00:00,evening,14,42,116,1
Refridgerator,100,very hot,2018-01-16,16:00:00,17:00:00,evening,11,14,281,0
Refridgerator,100,low cold,2018-01-17,01:00:00,02:00:00,midnight,1,35,117,1
Refridgerator,100,low hot,2018-01-17,03:00:00,04:00:00,midnight,5,2,208,1
Refridgerator,100,cold,2018-01-17,05:00:00,06:00:00,early morning,7,40,297,0
Refridgerator,100,low cold,2018-01-17,08:00:00,09:00:00,morning,1,24,254,0
Refridgerator,100,very cold,2018-01-17,12:00:00,13:00:00,afternoon,9,48,195,0
Refridgerator,100,very hot,2018-01-17,16:00:00,17:00:00,evening,14,2,225,1
Refridgerator,100,low hot,2018-01-17,19:00:00,20:00:00,night,8,57,236,0
Refridgerator,100,very cold,2018-01-17,23:00:00,00:00:00,midnight,13,12,239,0
Refridgerator,100,low cold,2018-01-18,00:00:00,01:00:00,midnight,10,10,113,1
Refridgerator,100,very hot,2018-01-18,06:00:00,07:00:00,early morning,1,58,207,0
Refridgerator,100,cold,2018-01-18,07:00:00,08:00:00,morning,15,1,113,1
Refridgerator,100,very hot,2018-01-18,10:00:00,11:00:00,morning,11,32,132,1
Refridgerator,100,very cold,2018-01-18,18:00:00,19:00:00,evening,15,14,270,0
Refridgerator,100,very hot,2018-01-18,19:00:00,20:00:00,night,7,11,280,0
Refridgerator,100,very hot,2018-01-18,19:00:00,20:00:00,night,13,41,299,0
Refridgerator,100,low cold,2018-01-18,23:00:00,00:00:00,midnight,14,9,219,1
Television,100,cold,2018-01-09,14:00:00,15:00:00,afternoon,6,4,289,0
Television,100,cold,2018-01-10,07:00:00,08:00:00,morning,13,3,229,1
Television,100,very hot,2018-01-10,08:00:00,09:00:00,morning,15,33,207,1
Television,100,low hot,2018-01-10,09:00:00,10:00:00,morning,9,44,251,1
Television,100,low hot,2018-01-10,12:00:00,13:00:00,afternoon,7,38,294,0
Television,100,cold,2018-01-10,12:00:00,13:00:00,afternoon,1,17,264,0
Television,100,low cold,2018-01-10,13:00:00,14:00:00,afternoon,3,26,273,0
Television,100,very cold,2018-01-11,02:00:00,03:00:00,midnight,1,42,221,1
Television,100,low hot,2018-01-11,03:00:00,04:00:00,midnight,3,22,206,1
Television,100,very cold,2018-01-11,03:00:00,04:00:00,midnight,15,47,240,1
Television,100,very hot,2018-01-11,06:00:00,07:00:00,early morning,14,53,238,0
Television,100,very hot,2018-01-11,09:00:00,10:00:00,morning,14,35,257,0
Television,100,very hot,2018-01-11,10:00:00,11:00:00,morning,13,5,207,1
Television,100,very cold,2018-01-11,11:00:00,12:00:00,morning,14,3,297,0
Television,100,low cold,2018-01-11,12:00:00,13:00:00,afternoon,0,0,254,0
Television,100,very cold,2018-01-11,15:00:00,16:00:00,afternoon,2,11,276,0
Television,100,very cold,2018-01-11,20:00:00,21:00:00,night,0,0,203,1
Television,100,very cold,2018-01-12,00:00:00,01:00:00,midnight,13,31,259,0
Television,100,cold,2018-01-12,00:00:00,01:00:00,midnight,14,9,256,0
Television,100,very hot,2018-01-12,01:00:00,02:00:00,midnight,11,9,220,1
Television,100,very cold,2018-01-12,04:00:00,05:00:00,early morning,14,27,286,0
Television,100,low hot,2018-01-12,13:00:00,14:00:00,afternoon,4,17,235,1
Television,100,low hot,2018-01-12,16:00:00,17:00:00,evening,14,1,237,1
Television,100,cold,2018-01-12,18:00:00,19:00:00,evening,5,48,284,0
Television,100,low hot,2018-01-12,19:00:00,20:00:00,night,7,36,240,1
Television,100,hot,2018-01-13,07:00:00,08:00:00,morning,4,46,221,1
Television,100,low hot,2018-01-13,09:00:00,10:00:00,morning,1,39,262,0
Television,100,low cold,2018-01-13,10:00:00,11:00:00,morning,1,4,299,0
Television,100,low hot,2018-01-13,14:00:00,15:00:00,afternoon,12,30,292,0
Television,100,cold,2018-01-13,15:00:00,16:00:00,afternoon,15,21,254,1
Television,100,very hot,2018-01-13,15:00:00,16:00:00,afternoon,8,5,264,0
Television,100,low hot,2018-01-13,15:00:00,16:00:00,afternoon,0,0,264,0
Television,100,very cold,2018-01-13,17:00:00,18:00:00,evening,0,0,221,1
Television,100,very hot,2018-01-13,21:00:00,22:00:00,night,15,12,217,1
Television,100,hot,2018-01-13,21:00:00,22:00:00,night,3,45,213,1
Television,100,very hot,2018-01-13,22:00:00,23:00:00,night,0,0,276,0
Television,100,low cold,2018-01-13,23:00:00,00:00:00,midnight,6,42,222,1
Television,100,cold,2018-01-14,09:00:00,10:00:00,morning,6,52,299,0
Television,100,cold,2018-01-14,12:00:00,13:00:00,afternoon,3,18,272,0
Television,100,very cold,2018-01-14,15:00:00,16:00:00,afternoon,12,32,279,0
AC,101,low cold,2018-01-01,00:00:00,01:00:00,midnight,9,57,1511,0
AC,101,cold,2018-01-01,02:00:00,03:00:00,midnight,1,46,1003,1
AC,101,low cold,2018-01-01,04:00:00,05:00:00,early morning,4,44,1441,0
AC,101,low hot,2018-01-01,05:00:00,06:00:00,early morning,15,33,1542,0
AC,101,hot,2018-01-01,08:00:00,09:00:00,morning,5,15,1792,0
AC,101,low hot,2018-01-01,10:00:00,11:00:00,morning,5,57,1465,0
AC,101,very cold,2018-01-01,10:00:00,11:00:00,morning,8,19,1985,0
AC,101,low hot,2018-01-01,17:00:00,18:00:00,evening,5,52,1895,0
AC,101,cold,2018-01-01,18:00:00,19:00:00,evening,4,4,1262,1
AC,101,low hot,2018-01-01,23:00:00,00:00:00,midnight,10,37,1648,0
AC,101,very cold,2018-01-02,05:00:00,06:00:00,early morning,8,58,1230,1
AC,101,low hot,2018-01-02,07:00:00,08:00:00,morning,0,0,1600,0
AC,101,very cold,2018-01-02,09:00:00,10:00:00,morning,2,41,1430,1
AC,101,low hot,2018-01-02,13:00:00,14:00:00,afternoon,0,0,1953,0
AC,101,very hot,2018-01-02,15:00:00,16:00:00,afternoon,11,20,1362,1
AC,101,very hot,2018-01-03,03:00:00,04:00:00,midnight,7,15,1658,1
AC,101,low cold,2018-01-03,10:00:00,11:00:00,morning,1,51,1751,0
AC,101,very cold,2018-01-03,10:00:00,11:00:00,morning,13,48,1052,1
AC,101,cold,2018-01-03,10:00:00,11:00:00,morning,13,51,1636,0
AC,101,very cold,2018-01-03,12:00:00,13:00:00,afternoon,14,38,1433,1
AC,101,hot,2018-01-03,18:00:00,19:00:00,evening,0,0,1722,0
AC,101,low cold,2018-01-03,19:00:00,20:00:00,night,8,53,1202,1
AC,101,hot,2018-01-03,20:00:00,21:00:00,night,11,30,1835,0
AC,101,very hot,2018-01-04,00:00:00,01:00:00,midnight,7,3,1387,1
AC,101,very hot,2018-01-04,04:00:00,05:00:00,early morning,10,49,1752,0
AC,101,hot,2018-01-04,05:00:00,06:00:00,early morning,3,29,1450,1
AC,101,very cold,2018-01-04,08:00:00,09:00:00,morning,14,45,1589,0
AC,101,cold,2018-01-04,10:00:00,11:00:00,morning,11,38,1921,0
AC,101,low cold,2018-01-04,11:00:00,12:00:00,morning,14,26,1757,0
AC,101,hot,2018-01-04,11:00:00,12:00:00,morning,10,9,1580,0
AC,101,hot,2018-01-04,12:00:00,13:00:00,afternoon,11,10,1520,1
AC,101,cold,2018-01-04,16:00:00,17:00:00,evening,14,54,1225,1
AC,101,low hot,2018-01-04,19:00:00,20:00:00,night,6,28,1677,0
AC,101,cold,2018-01-04,23:00:00,00:00:00,midnight,7,45,1887,0
AC,101,low cold,2018-01-05,01:00:00,02:00:00,midnight,14,17,1170,1
AC,101,low hot,2018-01-05,02:00:00,03:00:00,midnight,10,27,1939,0
AC,101,low cold,2018-01-05,06:00:00,07:00:00,early morning,11,51,1668,0
AC,101,cold,2018-01-05,07:00:00,08:00:00,morning,13,53,1956,0
AC,101,very hot,2018-01-05,14:00:00,15:00:00,afternoon,3,6,1664,0
AC,101,very hot,2018-01-05,18:00:00,19:00:00,evening,10,22,1940,0
AC,101,very cold,2018-01-05,23:00:00,00:00:00,midnight,4,8,1477,1
Computer,101,cold,2018-01-27,00:00:00,01:00:00,midnight,14,37,384,1
Computer,101,very cold,2018-01-27,05:00:00,06:00:00,early morning,4,30,473,0
Computer,101,very cold,2018-01-27,07:00:00,08:00:00,morning,0,0,397,0
Computer,101,hot,2018-01-27,11:00:00,12:00:00,morning,2,13,363,1
Computer,101,hot,2018-01-27,13:00:00,14:00:00,afternoon,6,28,418,0
Computer,101,hot,2018-01-27,14:00:00,15:00:00,afternoon,1,54,451,0
Computer,101,cold,2018-01-27,16:00:00,17:00:00,evening,11,22,432,0
Computer,101,cold,2018-01-28,07:00:00,08:00:00,morning,4,19,495,0
Computer,101,low hot,2018-01-28,08:00:00,09:00:00,morning,11,23,454,0
Computer,101,low hot,2018-01-28,12:00:00,13:00:00,afternoon,7,49,348,1
Computer,101,hot,2018-01-28,15:00:00,16:00:00,afternoon,4,56,345,1
Computer,101,very cold,2018-01-28,17:00:00,18:00:00,evening,13,46,342,0
Computer,101,very cold,2018-01-28,20:00:00,21:00:00,night,2,16,472,0
Computer,101,low hot,2018-01-29,01:00:00,02:00:00,midnight,12,42,463,0
Computer,101,hot,2018-01-29,06:00:00,07:00:00,early morning,5,31,463,0
Computer,101,hot,2018-01-29,09:00:00,10:00:00,morning,4,8,340,1
Computer,101,hot,2018-01-29,11:00:00,12:00:00,morning,15,59,400,0
Computer,101,low cold,2018-01-29,12:00:00,13:00:00,afternoon,9,22,480,0
Computer,101,very cold,2018-01-30,04:00:00,05:00:00,early morning,2,56,450,0
Computer,101,very hot,2018-01-30,07:00:00,08:00:00,morning,5,32,484,0
Computer,101,very hot,2018-01-30,11:00:00,12:00:00,morning,7,12,423,0
Computer,101,hot,2018-01-30,11:00:00,12:00:00,morning,10,25,395,0
Computer,101,hot,2018-01-30,12:00:00,13:00:00,afternoon,14,56,444,0
Computer,101,low hot,2018-01-30,20:00:00,21:00:00,night,0,0,431,0
Computer,101,cold,2018-01-30,20:00:00,21:00:00,night,0,0,431,1
Computer,101,cold,2018-01-30,22:00:00,23:00:00,night,6,36,328,1
