device,building,floor,room,type,power,date,from_time,to_time,no_of_people,time_stayed_mins
Microwave,1,2,201.0,indoor,1605,2018-01-03,06:00:00,07:00:00,7,19
Heater,1,6,,outdoor,2703,2018-01-03,07:00:00,08:00:00,4,20
Television,2,6,601.0,indoor,201,2018-01-03,08:00:00,09:00:00,6,0
Microwave,3,7,,outdoor,1694,2018-01-03,09:00:00,10:00:00,2,30
Lights,1,6,,outdoor,4217,2018-01-03,10:00:00,11:00:00,8,29
Computer,3,7,702.0,indoor,301,2018-01-03,11:00:00,12:00:00,4,25
Computer,1,9,,outdoor,381,2018-01-03,12:00:00,13:00:00,7,7
Television,3,2,,outdoor,220,2018-01-03,13:00:00,14:00:00,8,13
AC,2,5,,outdoor,4728,2018-01-03,14:00:00,15:00:00,8,5
Refridgerator,2,6,601.0,indoor,115,2018-01-03,15:00:00,16:00:00,0,4
Lights,2,6,602.0,indoor,1812,2018-01-03,16:00:00,17:00:00,6,29
Lights,1,10,1002.0,indoor,1430,2018-01-03,17:00:00,18:00:00,1,28
Microwave,2,9,,outdoor,1402,2018-01-03,18:00:00,19:00:00,6,30
Computer,3,1,,outdoor,348,2018-01-03,19:00:00,20:00:00,4,28
Heater,3,1,102.0,indoor,2961,2018-01-03,20:00:00,21:00:00,0,22
AC,1,6,605.0,indoor,1896,2018-01-03,21:00:00,22:00:00,0,7
AC,2,4,,outdoor,2191,2018-01-03,22:00:00,23:00:00,9,13
Computer,1,10,,outdoor,326,2018-01-03,23:00:00,00:00:00,8,10
Microwave,1,9,,outdoor,1428,2018-01-04,00:00:00,01:00:00,10,10
Heater,1,2,202.0,indoor,1935,2018-01-04,01:00:00,02:00:00,4,19
AC,3,8,801.0,indoor,1637,2018-01-04,02:00:00,03:00:00,4,18
Lights,3,10,,outdoor,3282,2018-01-04,03:00:00,04:00:00,3,2
AC,3,1,,outdoor,4124,2018-01-04,04:00:00,05:00:00,8,9
AC,1,5,503.0,indoor,1600,2018-01-04,05:00:00,06:00:00,2,26
Computer,1,1,,outdoor,390,2018-01-04,06:00:00,07:00:00,10,5
Computer,1,6,,outdoor,455,2018-01-04,07:00:00,08:00:00,4,11
Computer,1,2,,outdoor,460,2018-01-04,08:00:00,09:00:00,6,9
AC,1,8,803.0,indoor,1303,2018-01-04,09:00:00,10:00:00,4,10
Television,2,7,702.0,indoor,232,2018-01-04,10:00:00,11:00:00,3,24
Computer,3,2,202.0,indoor,333,2018-01-04,11:00:00,12:00:00,0,18
Lights,2,9,903.0,indoor,1394,2018-01-04,12:00:00,13:00:00,8,28
Television,2,8,,outdoor,208,2018-01-04,13:00:00,14:00:00,10,7
AC,2,7,,outdoor,2995,2018-01-04,14:00:00,15:00:00,8,17
Television,2,9,901.0,indoor,288,2018-01-04,15:00:00,16:00:00,0,1
Computer,2,2,207.0,indoor,445,2018-01-04,16:00:00,17:00:00,4,7
AC,2,10,1007.0,indoor,1773,2018-01-04,17:00:00,18:00:00,9,22
Heater,3,9,904.0,indoor,1823,2018-01-04,18:00:00,19:00:00,0,15
Heater,1,6,607.0,indoor,2817,2018-01-04,19:00:00,20:00:00,10,25
AC,3,3,307.0,indoor,1269,2018-01-04,20:00:00,21:00:00,10,24
Lights,3,3,,outdoor,3193,2018-01-04,21:00:00,22:00:00,7,29
Heater,1,3,,outdoor,2415,2018-01-04,22:00:00,23:00:00,5,20
Television,3,3,306.0,indoor,274,2018-01-04,23:00:00,00:00:00,7,18
Microwave,1,9,,outdoor,1105,2018-01-05,00:00:00,01:00:00,10,27
Heater,2,3,,outdoor,1810,2018-01-05,01:00:00,02:00:00,10,7
Television,3,2,,outdoor,218,2018-01-05,02:00:00,03:00:00,2,23
Lights,2,4,406.0,indoor,1083,2018-01-05,03:00:00,04:00:00,7,20
Microwave,1,7,,outdoor,1272,2018-01-05,04:00:00,05:00:00,1,25
AC,3,2,202.0,indoor,1417,2018-01-05,05:00:00,06:00:00,8,16
AC,3,1,,outdoor,2604,2018-01-05,06:00:00,07:00:00,10,21
Lights,1,8,,outdoor,3401,2018-01-05,07:00:00,08:00:00,3,22
Heater,2,10,1002.0,indoor,2197,2018-01-05,08:00:00,09:00:00,8,10
Heater,2,8,,outdoor,2761,2018-01-05,09:00:00,10:00:00,4,7
Lights,2,1,,outdoor,4994,2018-01-05,10:00:00,11:00:00,4,26
AC,2,9,,outdoor,2561,2018-01-05,11:00:00,12:00:00,6,19
Television,3,5,503.0,indoor,205,2018-01-05,12:00:00,13:00:00,5,6
Refridgerator,3,1,,outdoor,222,2018-01-05,13:00:00,14:00:00,1,14
Microwave,2,10,1003.0,indoor,1335,2018-01-05,14:00:00,15:00:00,5,13
Lights,1,5,,outdoor,2382,2018-01-05,15:00:00,16:00:00,8,12
Heater,1,1,106.0,indoor,2885,2018-01-05,16:00:00,17:00:00,9,7
Refridgerator,1,2,,outdoor,163,2018-01-05,17:00:00,18:00:00,6,26
AC,3,8,801.0,indoor,1895,2018-01-05,18:00:00,19:00:00,1,24
AC,2,3,303.0,indoor,1321,2018-01-05,19:00:00,20:00:00,0,16
Microwave,3,2,203.0,indoor,1346,2018-01-05,20:00:00,21:00:00,6,12
Lights,3,8,807.0,indoor,1815,2018-01-05,21:00:00,22:00:00,6,24
Television,3,4,407.0,indoor,256,2018-01-05,22:00:00,23:00:00,1,13
Refridgerator,3,9,,outdoor,231,2018-01-05,23:00:00,00:00:00,5,29
Microwave,1,1,,outdoor,1656,2018-01-06,00:00:00,01:00:00,10,20
Computer,1,7,,outdoor,316,2018-01-06,01:00:00,02:00:00,9,29
Computer,3,2,201.0,indoor,412,2018-01-06,02:00:00,03:00:00,3,16
Computer,2,6,606.0,indoor,303,2018-01-06,03:00:00,04:00:00,10,25
Microwave,2,9,902.0,indoor,1323,2018-01-06,04:00:00,05:00:00,5,19
Lights,3,5,,outdoor,2775,2018-01-06,05:00:00,06:00:00,7,20
Computer,1,9,901.0,indoor,312,2018-01-06,06:00:00,07:00:00,5,26
AC,1,9,,outdoor,4018,2018-01-06,07:00:00,08:00:00,0,1
Lights,2,4,405.0,indoor,1096,2018-01-06,08:00:00,09:00:00,5,18
Television,2,6,,outdoor,221,2018-01-06,09:00:00,10:00:00,2,1
Lights,2,5,505.0,indoor,1590,2018-01-06,10:00:00,11:00:00,9,2
Television,2,1,101.0,indoor,208,2018-01-06,11:00:00,12:00:00,3,28
Refridgerator,3,6,,outdoor,102,2018-01-06,12:00:00,13:00:00,6,9
AC,2,8,801.0,indoor,1871,2018-01-06,13:00:00,14:00:00,1,16
Microwave,1,2,201.0,indoor,1681,2018-01-06,14:00:00,15:00:00,10,10
Computer,1,10,1002.0,indoor,405,2018-01-06,15:00:00,16:00:00,4,18
Refridgerator,2,6,,outdoor,177,2018-01-06,16:00:00,17:00:00,0,22
Lights,1,2,,outdoor,4729,2018-01-06,17:00:00,18:00:00,10,26
Refridgerator,1,10,,outdoor,222,2018-01-06,18:00:00,19:00:00,1,7
Lights,3,4,402.0,indoor,1533,2018-01-06,19:00:00,20:00:00,2,26
Heater,1,1,,outdoor,2204,2018-01-06,20:00:00,21:00:00,2,22
Television,1,8,806.0,indoor,244,2018-01-06,21:00:00,22:00:00,9,7
Microwave,1,3,,outdoor,1750,2018-01-06,22:00:00,23:00:00,6,17
AC,1,5,,outdoor,4756,2018-01-06,23:00:00,00:00:00,4,6
Heater,2,8,,outdoor,2888,2018-01-07,00:00:00,01:00:00,4,4
Refridgerator,1,5,506.0,indoor,114,2018-01-07,01:00:00,02:00:00,4,4
Microwave,3,8,,outdoor,1162,2018-01-07,02:00:00,03:00:00,0,26
AC,3,1,106.0,indoor,1852,2018-01-07,03:00:00,04:00:00,7,30
Heater,3,6,605.0,indoor,1771,2018-01-07,04:00:00,05:00:00,10,30
Microwave,3,1,,outdoor,1269,2018-01-07,05:00:00,06:00:00,2,30
Lights,3,3,302.0,indoor,1053,2018-01-07,06:00:00,07:00:00,8,10
Television,3,4,,outdoor,263,2018-01-07,07:00:00,08:00:00,0,17
Refridgerator,1,9,,outdoor,143,2018-01-07,08:00:00,09:00:00,0,24
AC,2,5,505.0,indoor,1352,2018-01-07,09:00:00,10:00:00,0,24
Microwave,3,2,,outdoor,1945,2018-01-07,10:00:00,11:00:00,1,10
Computer,2,9,901.0,indoor,384,2018-01-07,11:00:00,12:00:00,8,27
Refridgerator,2,3,306.0,indoor,270,2018-01-07,12:00:00,13:00:00,0,0
Computer,1,5,501.0,indoor,399,2018-01-07,13:00:00,14:00:00,4,27
AC,3,10,,outdoor,2334,2018-01-07,14:00:00,15:00:00,0,22
Microwave,3,4,,outdoor,1750,2018-01-07,15:00:00,16:00:00,8,17
Refridgerator,2,4,,outdoor,229,2018-01-07,16:00:00,17:00:00,0,16
Lights,3,2,,outdoor,3999,2018-01-07,17:00:00,18:00:00,0,16
Microwave,1,10,1002.0,indoor,1945,2018-01-07,18:00:00,19:00:00,1,22
AC,3,1,,outdoor,4653,2018-01-07,19:00:00,20:00:00,7,18
Heater,2,9,,outdoor,2207,2018-01-07,20:00:00,21:00:00,1,27
Heater,3,4,,outdoor,2510,2018-01-07,21:00:00,22:00:00,10,10
AC,3,4,401.0,indoor,1223,2018-01-07,22:00:00,23:00:00,9,26
Refridgerator,2,10,1005.0,indoor,178,2018-01-07,23:00:00,00:00:00,8,14
Refridgerator,2,6,,outdoor,164,2018-01-08,00:00:00,01:00:00,5,18
Microwave,2,7,704.0,indoor,1037,2018-01-08,01:00:00,02:00:00,0,14
Lights,1,4,407.0,indoor,1216,2018-01-08,02:00:00,03:00:00,10,29
Lights,3,8,807.0,indoor,1010,2018-01-08,03:00:00,04:00:00,4,25
Television,2,8,802.0,indoor,247,2018-01-08,04:00:00,05:00:00,1,13
Microwave,1,5,506.0,indoor,1890,2018-01-08,05:00:00,06:00:00,9,12
AC,1,1,101.0,indoor,1805,2018-01-08,06:00:00,07:00:00,7,6
Television,3,8,,outdoor,267,2018-01-08,07:00:00,08:00:00,3,29
Lights,3,4,,outdoor,4000,2018-01-08,08:00:00,09:00:00,6,16
Television,1,7,,outdoor,299,2018-01-08,09:00:00,10:00:00,0,18
Microwave,3,3,307.0,indoor,1383,2018-01-08,10:00:00,11:00:00,9,24
Computer,2,10,,outdoor,489,2018-01-08,11:00:00,12:00:00,3,2
Refridgerator,2,7,702.0,indoor,140,2018-01-08,12:00:00,13:00:00,10,8
Computer,1,7,707.0,indoor,326,2018-01-08,13:00:00,14:00:00,10,18
Computer,2,6,607.0,indoor,458,2018-01-08,14:00:00,15:00:00,2,13
Lights,1,8,806.0,indoor,1924,2018-01-08,15:00:00,16:00:00,10,15
Computer,3,7,,outdoor,403,2018-01-08,16:00:00,17:00:00,7,2
Lights,1,1,,outdoor,4947,2018-01-08,17:00:00,18:00:00,3,21
Refridgerator,3,9,906.0,indoor,237,2018-01-08,18:00:00,19:00:00,3,15
Lights,2,6,604.0,indoor,1613,2018-01-08,19:00:00,20:00:00,0,17
AC,2,7,,outdoor,4372,2018-01-08,20:00:00,21:00:00,5,11
Lights,1,10,1003.0,indoor,1003,2018-01-08,21:00:00,22:00:00,3,6
AC,2,3,301.0,indoor,1610,2018-01-08,22:00:00,23:00:00,2,8
Lights,1,6,,outdoor,4782,2018-01-08,23:00:00,00:00:00,6,12
Television,1,8,,outdoor,254,2018-01-09,00:00:00,01:00:00,0,12
Microwave,1,6,605.0,indoor,1890,2018-01-09,01:00:00,02:00:00,4,15
Microwave,1,4,,outdoor,1858,2018-01-09,02:00:00,03:00:00,5,11
Lights,3,10,,outdoor,2193,2018-01-09,03:00:00,04:00:00,9,16
Refridgerator,1,6,,outdoor,234,2018-01-09,04:00:00,05:00:00,2,8
Computer,2,10,,outdoor,312,2018-01-09,05:00:00,06:00:00,7,9
Microwave,1,10,,outdoor,1579,2018-01-09,06:00:00,07:00:00,8,14
AC,3,6,604.0,indoor,1564,2018-01-09,07:00:00,08:00:00,1,10
Television,1,10,,outdoor,208,2018-01-09,08:00:00,09:00:00,1,14
AC,3,8,806.0,indoor,1956,2018-01-09,09:00:00,10:00:00,4,27
Heater,2,3,,outdoor,2278,2018-01-09,10:00:00,11:00:00,1,30
Refridgerator,3,8,803.0,indoor,127,2018-01-09,11:00:00,12:00:00,10,20
Computer,3,6,605.0,indoor,483,2018-01-09,12:00:00,13:00:00,6,2
Refridgerator,2,6,602.0,indoor,165,2018-01-09,13:00:00,14:00:00,2,9
Television,1,1,,outdoor,203,2018-01-09,14:00:00,15:00:00,0,22
Microwave,3,8,,outdoor,1492,2018-01-09,15:00:00,16:00:00,7,26
AC,3,1,,outdoor,4957,2018-01-09,16:00:00,17:00:00,2,10
Television,1,6,,outdoor,226,2018-01-09,17:00:00,18:00:00,2,14
Television,3,3,,outdoor,299,2018-01-09,18:00:00,19:00:00,10,29
Computer,3,7,704.0,indoor,470,2018-01-09,19:00:00,20:00:00,4,5
Television,2,5,,outdoor,251,2018-01-09,20:00:00,21:00:00,4,13
Heater,1,6,603.0,indoor,2487,2018-01-09,21:00:00,22:00:00,6,17
Microwave,1,6,,outdoor,1167,2018-01-09,22:00:00,23:00:00,6,1
Microwave,3,8,,outdoor,1858,2018-01-09,23:00:00,00:00:00,5,23
Computer,3,8,806.0,indoor,367,2018-01-10,00:00:00,01:00:00,8,10
Heater,1,6,603.0,indoor,1665,2018-01-10,01:00:00,02:00:00,3,10
Microwave,1,7,701.0,indoor,1418,2018-01-10,02:00:00,03:00:00,10,19
Microwave,2,3,306.0,indoor,1584,2018-01-10,03:00:00,04:00:00,4,18
AC,3,1,,outdoor,4006,2018-01-10,04:00:00,05:00:00,10,3
Computer,2,6,,outdoor,377,2018-01-10,05:00:00,06:00:00,2,21
Microwave,3,7,,outdoor,1223,2018-01-10,06:00:00,07:00:00,9,28
Television,3,6,601.0,indoor,208,2018-01-10,07:00:00,08:00:00,4,1
AC,1,5,,outdoor,3887,2018-01-10,08:00:00,09:00:00,4,26
Computer,2,9,903.0,indoor,329,2018-01-10,09:00:00,10:00:00,10,14
Lights,2,7,701.0,indoor,1017,2018-01-10,10:00:00,11:00:00,4,11
Refridgerator,3,5,506.0,indoor,297,2018-01-10,11:00:00,12:00:00,10,2
Lights,3,1,107.0,indoor,1527,2018-01-10,12:00:00,13:00:00,0,12
Television,2,9,907.0,indoor,258,2018-01-10,13:00:00,14:00:00,8,19
Computer,3,9,,outdoor,374,2018-01-10,14:00:00,15:00:00,2,21
Lights,3,10,1007.0,indoor,1243,2018-01-10,15:00:00,16:00:00,2,14
AC,3,3,,outdoor,4757,2018-01-10,16:00:00,17:00:00,2,1
AC,1,7,,outdoor,4517,2018-01-10,17:00:00,18:00:00,3,24
Refridgerator,3,4,404.0,indoor,133,2018-01-10,18:00:00,19:00:00,4,28
Television,1,3,,outdoor,252,2018-01-10,19:00:00,20:00:00,0,14
Television,2,8,,outdoor,260,2018-01-10,20:00:00,21:00:00,10,11
Television,2,6,605.0,indoor,253,2018-01-10,21:00:00,22:00:00,10,24
Microwave,3,10,1007.0,indoor,1549,2018-01-10,22:00:00,23:00:00,2,23
Computer,2,9,,outdoor,390,2018-01-10,23:00:00,00:00:00,1,12
Lights,1,5,501.0,indoor,1798,2018-01-11,00:00:00,01:00:00,6,28
Heater,2,6,602.0,indoor,2736,2018-01-11,01:00:00,02:00:00,5,16
AC,2,3,302.0,indoor,1509,2018-01-11,02:00:00,03:00:00,9,12
Television,3,8,,outdoor,291,2018-01-11,03:00:00,04:00:00,0,28
Lights,3,4,,outdoor,3050,2018-01-11,04:00:00,05:00:00,1,6
Lights,1,5,,outdoor,3414,2018-01-11,05:00:00,06:00:00,5,16
Refridgerator,2,7,,outdoor,127,2018-01-11,06:00:00,07:00:00,0,27
Lights,1,5,503.0,indoor,1126,2018-01-11,07:00:00,08:00:00,7,25
AC,2,8,801.0,indoor,1384,2018-01-11,08:00:00,09:00:00,3,10
Microwave,2,3,307.0,indoor,1868,2018-01-11,09:00:00,10:00:00,8,2
Heater,3,3,305.0,indoor,2035,2018-01-11,10:00:00,11:00:00,0,11
Refridgerator,2,5,,outdoor,176,2018-01-11,11:00:00,12:00:00,10,16
Computer,3,10,1004.0,indoor,404,2018-01-11,12:00:00,13:00:00,3,21
Television,3,5,503.0,indoor,241,2018-01-11,13:00:00,14:00:00,6,12
Heater,1,4,406.0,indoor,2671,2018-01-11,14:00:00,15:00:00,7,26
AC,3,10,1004.0,indoor,1577,2018-01-11,15:00:00,16:00:00,5,11
Refridgerator,2,10,,outdoor,181,2018-01-11,16:00:00,17:00:00,2,3
Lights,1,8,803.0,indoor,1845,2018-01-11,17:00:00,18:00:00,2,9
Heater,2,8,807.0,indoor,2475,2018-01-11,18:00:00,19:00:00,10,8
Computer,1,1,103.0,indoor,311,2018-01-11,19:00:00,20:00:00,5,20
Microwave,1,9,902.0,indoor,1619,2018-01-11,20:00:00,21:00:00,4,4
Heater,2,3,303.0,indoor,2136,2018-01-11,21:00:00,22:00:00,6,9
Lights,3,7,706.0,indoor,1925,2018-01-11,22:00:00,23:00:00,4,20
AC,1,6,603.0,indoor,1294,2018-01-11,23:00:00,00:00:00,8,29
AC,3,9,,outdoor,3111,2018-01-12,00:00:00,01:00:00,7,7
AC,3,7,,outdoor,3772,2018-01-12,01:00:00,02:00:00,5,1
Television,3,6,,outdoor,200,2018-01-12,02:00:00,03:00:00,4,28
Refridgerator,1,1,103.0,indoor,287,2018-01-12,03:00:00,04:00:00,4,18
Microwave,1,4,,outdoor,1848,2018-01-12,04:00:00,05:00:00,10,4
Computer,1,3,,outdoor,398,2018-01-12,05:00:00,06:00:00,9,7
Lights,1,4,,outdoor,3343,2018-01-12,06:00:00,07:00:00,2,3
Television,1,1,103.0,indoor,264,2018-01-12,07:00:00,08:00:00,9,17
Heater,1,6,,outdoor,2106,2018-01-12,08:00:00,09:00:00,1,30
AC,1,7,,outdoor,4372,2018-01-12,09:00:00,10:00:00,8,30
AC,2,4,,outdoor,3156,2018-01-12,10:00:00,11:00:00,1,0
Television,2,1,103.0,indoor,298,2018-01-12,11:00:00,12:00:00,7,19
AC,2,10,,outdoor,2943,2018-01-12,12:00:00,13:00:00,1,11
Refridgerator,1,1,,outdoor,208,2018-01-12,13:00:00,14:00:00,7,15
Lights,1,5,,outdoor,3802,2018-01-12,14:00:00,15:00:00,5,0
Heater,2,1,,outdoor,1609,2018-01-12,15:00:00,16:00:00,5,21
Television,2,3,305.0,indoor,253,2018-01-12,16:00:00,17:00:00,8,2
Computer,2,4,,outdoor,350,2018-01-12,17:00:00,18:00:00,6,30
Television,3,2,202.0,indoor,224,2018-01-12,18:00:00,19:00:00,0,4
Microwave,2,7,,outdoor,1438,2018-01-12,19:00:00,20:00:00,4,19
AC,2,7,,outdoor,3402,2018-01-12,20:00:00,21:00:00,3,29
Lights,2,9,,outdoor,3923,2018-01-12,21:00:00,22:00:00,0,1
Heater,2,10,1007.0,indoor,2248,2018-01-12,22:00:00,23:00:00,8,15
AC,2,8,803.0,indoor,1210,2018-01-12,23:00:00,00:00:00,9,4
Lights,3,7,707.0,indoor,1120,2018-01-13,00:00:00,01:00:00,4,25
Microwave,1,5,,outdoor,1319,2018-01-13,01:00:00,02:00:00,3,0
Computer,3,2,206.0,indoor,313,2018-01-13,02:00:00,03:00:00,5,21
Lights,3,7,704.0,indoor,1519,2018-01-13,03:00:00,04:00:00,4,19
Lights,2,2,202.0,indoor,1535,2018-01-13,04:00:00,05:00:00,3,14
AC,1,7,703.0,indoor,1121,2018-01-13,05:00:00,06:00:00,3,14
Lights,2,8,,outdoor,3466,2018-01-13,06:00:00,07:00:00,6,20
Microwave,2,5,,outdoor,1247,2018-01-13,07:00:00,08:00:00,8,15
Microwave,2,6,602.0,indoor,1460,2018-01-13,08:00:00,09:00:00,3,5
Microwave,3,9,,outdoor,1463,2018-01-13,09:00:00,10:00:00,2,18
Refridgerator,3,6,603.0,indoor,172,2018-01-13,10:00:00,11:00:00,1,18
Microwave,1,8,807.0,indoor,1135,2018-01-13,11:00:00,12:00:00,0,26
Microwave,1,3,,outdoor,1434,2018-01-13,12:00:00,13:00:00,10,14
Computer,1,8,805.0,indoor,467,2018-01-13,13:00:00,14:00:00,1,22
AC,2,10,1002.0,indoor,1467,2018-01-13,14:00:00,15:00:00,7,1
Microwave,1,5,,outdoor,1105,2018-01-13,15:00:00,16:00:00,5,20
AC,2,6,,outdoor,2796,2018-01-13,16:00:00,17:00:00,2,24
Refridgerator,1,6,607.0,indoor,142,2018-01-13,17:00:00,18:00:00,3,8
Lights,1,6,,outdoor,3167,2018-01-13,18:00:00,19:00:00,1,1
AC,2,6,603.0,indoor,1988,2018-01-13,19:00:00,20:00:00,0,9
Microwave,3,1,105.0,indoor,1482,2018-01-13,20:00:00,21:00:00,7,28
AC,1,7,,outdoor,4680,2018-01-13,21:00:00,22:00:00,8,16
AC,3,1,,outdoor,3589,2018-01-13,22:00:00,23:00:00,5,19
AC,2,10,1002.0,indoor,1559,2018-01-13,23:00:00,00:00:00,6,15
Television,2,4,,outdoor,223,2018-01-14,00:00:00,01:00:00,10,0
Heater,1,3,,outdoor,1901,2018-01-14,01:00:00,02:00:00,1,29
Television,1,1,,outdoor,263,2018-01-14,02:00:00,03:00:00,8,15
Microwave,2,10,,outdoor,1307,2018-01-14,03:00:00,04:00:00,10,18
AC,2,2,202.0,indoor,1474,2018-01-14,04:00:00,05:00:00,7,11
Lights,2,4,402.0,indoor,1272,2018-01-14,05:00:00,06:00:00,5,9
Lights,1,1,,outdoor,3983,2018-01-14,06:00:00,07:00:00,5,28
AC,3,10,1001.0,indoor,1833,2018-01-14,07:00:00,08:00:00,10,0
Microwave,2,9,,outdoor,1737,2018-01-14,08:00:00,09:00:00,1,24
AC,2,4,406.0,indoor,1725,2018-01-14,09:00:00,10:00:00,5,7
Lights,3,6,603.0,indoor,1905,2018-01-14,10:00:00,11:00:00,2,17
Refridgerator,3,6,,outdoor,262,2018-01-14,11:00:00,12:00:00,1,21
Television,2,2,,outdoor,249,2018-01-14,12:00:00,13:00:00,2,29
Refridgerator,2,7,,outdoor,266,2018-01-14,13:00:00,14:00:00,0,19
Heater,1,4,405.0,indoor,2750,2018-01-14,14:00:00,15:00:00,5,30
Refridgerator,1,10,,outdoor,270,2018-01-14,15:00:00,16:00:00,9,26
Heater,3,3,,outdoor,2298,2018-01-14,16:00:00,17:00:00,1,6
Computer,2,5,,outdoor,401,2018-01-14,17:00:00,18:00:00,6,10
Refridgerator,2,1,101.0,indoor,101,2018-01-14,18:00:00,19:00:00,7,0
Heater,1,9,905.0,indoor,2754,2018-01-14,19:00:00,20:00:00,2,9
Microwave,3,8,806.0,indoor,1077,2018-01-14,20:00:00,21:00:00,1,16
AC,1,4,403.0,indoor,1378,2018-01-14,21:00:00,22:00:00,8,8
Refridgerator,3,2,,outdoor,214,2018-01-14,22:00:00,23:00:00,2,4
Lights,3,2,,outdoor,4938,2018-01-14,23:00:00,00:00:00,8,18
AC,1,9,901.0,indoor,1771,2018-01-15,00:00:00,01:00:00,2,21
AC,1,5,502.0,indoor,1160,2018-01-15,01:00:00,02:00:00,1,3
AC,1,10,1004.0,indoor,1866,2018-01-15,02:00:00,03:00:00,0,0
Computer,2,8,,outdoor,304,2018-01-15,03:00:00,04:00:00,0,20
