device,building,floor,room,type,power,date,from_time,to_time,no_of_people,time_stayed_mins,target
Heater,1,1,106,indoor,2409,18-01-2018,11:00:00,12:00:00,1,26,0
Lights,1,1,106,indoor,1029,05-01-2018,06:00:00,07:00:00,1,18,1
Microwave,1,1,106,indoor,1132,23-01-2018,14:00:00,15:00:00,3,11,1
Microwave,1,1,106,indoor,1321,24-01-2018,22:00:00,23:00:00,1,30,1
Microwave,1,1,106,indoor,1372,26-01-2018,00:00:00,01:00:00,6,8,1
Microwave,1,1,106,indoor,1044,26-01-2018,18:00:00,19:00:00,0,0,1
Microwave,1,1,106,indoor,1429,27-01-2018,10:00:00,11:00:00,7,6,1
Refridgerator,1,1,106,indoor,191,16-01-2018,16:00:00,17:00:00,8,8,1
Television,1,1,106,indoor,265,10-01-2018,02:00:00,03:00:00,6,22,0
AC,1,1,107,indoor,1408,04-01-2018,11:00:00,12:00:00,2,6,1
Computer,1,1,107,indoor,388,28-01-2018,19:00:00,20:00:00,2,28,0
Computer,1,1,107,indoor,475,30-01-2018,08:00:00,09:00:00,10,7,0
Heater,1,1,107,indoor,1766,21-01-2018,20:00:00,21:00:00,5,12,1
Lights,1,1,107,indoor,1797,06-01-2018,08:00:00,09:00:00,10,20,0
Lights,1,1,107,indoor,1076,09-01-2018,01:00:00,02:00:00,4,4,1
Microwave,1,1,107,indoor,1464,24-01-2018,05:00:00,06:00:00,5,25,1
Refridgerator,1,1,107,indoor,190,14-01-2018,20:00:00,21:00:00,2,9,1
Television,1,1,107,indoor,255,10-01-2018,07:00:00,08:00:00,2,7,0
Television,1,1,107,indoor,203,13-01-2018,00:00:00,01:00:00,0,0,1
Television,1,1,107,indoor,299,14-01-2018,02:00:00,03:00:00,1,10,0
AC,1,1,0,outdoor,3072,01-01-2018,18:00:00,19:00:00,8,29,0
AC,1,1,0,outdoor,3497,02-01-2018,01:00:00,02:00:00,9,10,1
AC,1,1,0,outdoor,4921,02-01-2018,01:00:00,02:00:00,1,11,0
AC,1,1,0,outdoor,4645,02-01-2018,12:00:00,13:00:00,5,17,0
AC,1,1,0,outdoor,2599,02-01-2018,12:00:00,13:00:00,0,0,1
AC,1,1,0,outdoor,2345,02-01-2018,22:00:00,23:00:00,0,0,1
AC,1,1,0,outdoor,3961,03-01-2018,00:00:00,01:00:00,3,8,0
AC,1,1,0,outdoor,3031,03-01-2018,05:00:00,06:00:00,6,29,1
AC,1,1,0,outdoor,4109,03-01-2018,09:00:00,10:00:00,0,0,0
AC,1,1,0,outdoor,4297,03-01-2018,19:00:00,20:00:00,5,14,0
AC,1,1,0,outdoor,4223,04-01-2018,02:00:00,03:00:00,10,16,0
AC,1,1,0,outdoor,4596,04-01-2018,07:00:00,08:00:00,1,2,0
AC,1,1,0,outdoor,4097,04-01-2018,14:00:00,15:00:00,5,9,0
AC,1,1,0,outdoor,4974,04-01-2018,20:00:00,21:00:00,6,8,0
AC,1,1,0,outdoor,2903,04-01-2018,23:00:00,00:00:00,1,8,1
AC,1,1,0,outdoor,3800,05-01-2018,01:00:00,02:00:00,8,29,0
AC,1,1,0,outdoor,2154,05-01-2018,02:00:00,03:00:00,7,9,1
Computer,1,1,0,outdoor,431,28-01-2018,14:00:00,15:00:00,10,8,0
Computer,1,1,0,outdoor,376,28-01-2018,16:00:00,17:00:00,1,2,1
Computer,1,1,0,outdoor,448,29-01-2018,00:00:00,01:00:00,4,16,0
Computer,1,1,0,outdoor,319,29-01-2018,17:00:00,18:00:00,4,2,1
Computer,1,1,0,outdoor,427,30-01-2018,06:00:00,07:00:00,1,14,0
Computer,1,1,0,outdoor,360,30-01-2018,11:00:00,12:00:00,2,10,1
Computer,1,1,0,outdoor,379,30-01-2018,18:00:00,19:00:00,7,6,1
Computer,1,1,0,outdoor,441,30-01-2018,23:00:00,00:00:00,3,1,0
Computer,1,1,0,outdoor,472,31-01-2018,00:00:00,01:00:00,10,19,0
Computer,1,1,0,outdoor,435,31-01-2018,04:00:00,05:00:00,0,0,0
Computer,1,1,0,outdoor,302,31-01-2018,17:00:00,18:00:00,3,24,1
Computer,1,1,0,outdoor,478,31-01-2018,22:00:00,23:00:00,2,16,0
Heater,1,1,0,outdoor,2380,19-01-2018,09:00:00,10:00:00,3,11,0
Heater,1,1,0,outdoor,1560,19-01-2018,12:00:00,13:00:00,1,22,1
Heater,1,1,0,outdoor,1659,19-01-2018,15:00:00,16:00:00,10,29,1
Heater,1,1,0,outdoor,2010,19-01-2018,15:00:00,16:00:00,4,13,1
Heater,1,1,0,outdoor,2737,20-01-2018,01:00:00,02:00:00,0,0,0
Heater,1,1,0,outdoor,2594,20-01-2018,02:00:00,03:00:00,6,24,0
Heater,1,1,0,outdoor,2141,20-01-2018,22:00:00,23:00:00,5,10,1
Heater,1,1,0,outdoor,2433,21-01-2018,02:00:00,03:00:00,6,22,0
Heater,1,1,0,outdoor,2655,21-01-2018,15:00:00,16:00:00,7,13,0
Heater,1,1,0,outdoor,1868,21-01-2018,18:00:00,19:00:00,9,24,1
Heater,1,1,0,outdoor,1605,22-01-2018,06:00:00,07:00:00,5,5,1
Heater,1,1,0,outdoor,2224,22-01-2018,18:00:00,19:00:00,8,25,0
Lights,1,1,0,outdoor,4794,05-01-2018,03:00:00,04:00:00,6,4,0
Lights,1,1,0,outdoor,2283,05-01-2018,08:00:00,09:00:00,9,2,1
Lights,1,1,0,outdoor,4377,05-01-2018,21:00:00,22:00:00,10,29,0
Lights,1,1,0,outdoor,3112,07-01-2018,06:00:00,07:00:00,5,18,1
Lights,1,1,0,outdoor,3853,07-01-2018,06:00:00,07:00:00,1,1,0
Lights,1,1,0,outdoor,3023,07-01-2018,12:00:00,13:00:00,3,15,1
Lights,1,1,0,outdoor,3753,09-01-2018,13:00:00,14:00:00,10,2,0
Microwave,1,1,0,outdoor,1707,23-01-2018,06:00:00,07:00:00,0,0,0
Microwave,1,1,0,outdoor,1088,23-01-2018,08:00:00,09:00:00,9,29,1
Microwave,1,1,0,outdoor,1391,23-01-2018,17:00:00,18:00:00,5,24,1
Microwave,1,1,0,outdoor,1743,23-01-2018,22:00:00,23:00:00,5,10,0
Microwave,1,1,0,outdoor,1735,24-01-2018,00:00:00,01:00:00,0,0,0
Microwave,1,1,0,outdoor,1529,24-01-2018,02:00:00,03:00:00,8,21,0
Microwave,1,1,0,outdoor,1553,24-01-2018,09:00:00,10:00:00,0,0,0
Microwave,1,1,0,outdoor,1063,24-01-2018,17:00:00,18:00:00,5,14,1
Microwave,1,1,0,outdoor,1043,24-01-2018,22:00:00,23:00:00,3,14,1
Microwave,1,1,0,outdoor,1140,25-01-2018,04:00:00,05:00:00,10,16,1
Microwave,1,1,0,outdoor,1804,25-01-2018,07:00:00,08:00:00,10,6,0
Microwave,1,1,0,outdoor,1517,25-01-2018,16:00:00,17:00:00,8,3,0
Microwave,1,1,0,outdoor,1976,25-01-2018,20:00:00,21:00:00,8,23,0
Microwave,1,1,0,outdoor,1448,26-01-2018,17:00:00,18:00:00,8,15,1
Microwave,1,1,0,outdoor,1588,27-01-2018,00:00:00,01:00:00,2,19,0
Microwave,1,1,0,outdoor,1450,27-01-2018,11:00:00,12:00:00,4,21,1
Refridgerator,1,1,0,outdoor,209,14-01-2018,20:00:00,21:00:00,5,3,0
Refridgerator,1,1,0,outdoor,135,15-01-2018,18:00:00,19:00:00,3,30,1
Refridgerator,1,1,0,outdoor,155,16-01-2018,00:00:00,01:00:00,7,1,1
Refridgerator,1,1,0,outdoor,266,16-01-2018,05:00:00,06:00:00,4,5,0
Refridgerator,1,1,0,outdoor,141,16-01-2018,06:00:00,07:00:00,1,28,1
Refridgerator,1,1,0,outdoor,239,16-01-2018,11:00:00,12:00:00,7,1,0
Refridgerator,1,1,0,outdoor,150,16-01-2018,19:00:00,20:00:00,8,3,1
Refridgerator,1,1,0,outdoor,133,16-01-2018,21:00:00,22:00:00,1,19,1
Refridgerator,1,1,0,outdoor,110,17-01-2018,08:00:00,09:00:00,1,26,1
Refridgerator,1,1,0,outdoor,129,17-01-2018,15:00:00,16:00:00,6,18,1
Refridgerator,1,1,0,outdoor,253,17-01-2018,16:00:00,17:00:00,10,30,0
Refridgerator,1,1,0,outdoor,101,17-01-2018,22:00:00,23:00:00,1,11,1
Refridgerator,1,1,0,outdoor,127,18-01-2018,09:00:00,10:00:00,9,22,1
Television,1,1,0,outdoor,256,10-01-2018,07:00:00,08:00:00,6,13,0
Television,1,1,0,outdoor,286,10-01-2018,15:00:00,16:00:00,5,6,0
Television,1,1,0,outdoor,280,10-01-2018,17:00:00,18:00:00,1,7,0
Television,1,1,0,outdoor,260,10-01-2018,18:00:00,19:00:00,7,15,0
Television,1,1,0,outdoor,283,11-01-2018,14:00:00,15:00:00,4,7,0
Television,1,1,0,outdoor,258,11-01-2018,21:00:00,22:00:00,8,6,0
Television,1,1,0,outdoor,286,12-01-2018,02:00:00,03:00:00,5,25,0
Television,1,1,0,outdoor,283,12-01-2018,19:00:00,20:00:00,2,23,0
Television,1,1,0,outdoor,240,12-01-2018,19:00:00,20:00:00,5,19,1
Television,1,1,0,outdoor,261,12-01-2018,21:00:00,22:00:00,0,0,0
Television,1,1,0,outdoor,257,13-01-2018,04:00:00,05:00:00,3,23,0
Television,1,1,0,outdoor,284,13-01-2018,12:00:00,13:00:00,1,13,0
Television,1,1,0,outdoor,236,13-01-2018,13:00:00,14:00:00,2,7,1
Television,1,1,0,outdoor,233,14-01-2018,15:00:00,16:00:00,1,11,1
AC,1,2,201,indoor,1001,03-01-2018,12:00:00,13:00:00,9,7,1
AC,1,2,201,indoor,1586,04-01-2018,14:00:00,15:00:00,8,30,0
AC,1,2,201,indoor,1303,05-01-2018,10:00:00,11:00:00,4,20,1
Computer,1,2,201,indoor,419,28-01-2018,15:00:00,16:00:00,0,0,0
Computer,1,2,201,indoor,402,28-01-2018,16:00:00,17:00:00,9,18,1
Computer,1,2,201,indoor,361,29-01-2018,08:00:00,09:00:00,1,7,1
Heater,1,2,201,indoor,2970,19-01-2018,08:00:00,09:00:00,9,25,0
Heater,1,2,201,indoor,2965,19-01-2018,23:00:00,00:00:00,0,0,0
Heater,1,2,201,indoor,1544,21-01-2018,02:00:00,03:00:00,10,12,1
Lights,1,2,201,indoor,1504,09-01-2018,18:00:00,19:00:00,9,8,0
Microwave,1,2,201,indoor,1886,25-01-2018,16:00:00,17:00:00,0,0,0
Refridgerator,1,2,201,indoor,101,17-01-2018,18:00:00,19:00:00,0,0,1
Television,1,2,201,indoor,294,10-01-2018,02:00:00,03:00:00,5,29,0
Television,1,2,201,indoor,271,13-01-2018,18:00:00,19:00:00,5,23,0
Television,1,2,201,indoor,221,14-01-2018,04:00:00,05:00:00,4,6,1
AC,1,2,202,indoor,1131,02-01-2018,07:00:00,08:00:00,2,12,1
AC,1,2,202,indoor,1680,02-01-2018,23:00:00,00:00:00,3,7,0
Computer,1,2,202,indoor,424,31-01-2018,19:00:00,20:00:00,10,4,0
Heater,1,2,202,indoor,2412,22-01-2018,05:00:00,06:00:00,0,0,0
Lights,1,2,202,indoor,1034,06-01-2018,13:00:00,14:00:00,0,0,1
Microwave,1,2,202,indoor,1902,25-01-2018,22:00:00,23:00:00,1,13,0
Refridgerator,1,2,202,indoor,292,16-01-2018,09:00:00,10:00:00,10,29,0
Refridgerator,1,2,202,indoor,161,18-01-2018,10:00:00,11:00:00,4,7,1
Television,1,2,202,indoor,265,11-01-2018,17:00:00,18:00:00,8,10,0
AC,1,2,203,indoor,1503,04-01-2018,13:00:00,14:00:00,4,2,1
Computer,1,2,203,indoor,495,30-01-2018,13:00:00,14:00:00,10,26,0
Heater,1,2,203,indoor,2444,21-01-2018,17:00:00,18:00:00,5,11,0
Microwave,1,2,203,indoor,1119,23-01-2018,13:00:00,14:00:00,2,26,1
Microwave,1,2,203,indoor,1092,23-01-2018,20:00:00,21:00:00,7,10,1
Microwave,1,2,203,indoor,1467,25-01-2018,15:00:00,16:00:00,2,24,0
Microwave,1,2,203,indoor,1615,26-01-2018,04:00:00,05:00:00,10,22,0
Refridgerator,1,2,203,indoor,127,14-01-2018,18:00:00,19:00:00,6,28,1
Refridgerator,1,2,203,indoor,159,15-01-2018,07:00:00,08:00:00,1,6,1
Refridgerator,1,2,203,indoor,186,17-01-2018,04:00:00,05:00:00,5,30,1
Television,1,2,203,indoor,294,11-01-2018,08:00:00,09:00:00,2,9,0
Television,1,2,203,indoor,258,11-01-2018,20:00:00,21:00:00,3,27,0
Computer,1,2,204,indoor,414,28-01-2018,23:00:00,00:00:00,5,11,0
Computer,1,2,204,indoor,431,29-01-2018,21:00:00,22:00:00,9,17,0
Computer,1,2,204,indoor,343,31-01-2018,02:00:00,03:00:00,2,21,1
Heater,1,2,204,indoor,2014,21-01-2018,17:00:00,18:00:00,10,18,1
Heater,1,2,204,indoor,2343,22-01-2018,14:00:00,15:00:00,5,20,1
Lights,1,2,204,indoor,1916,06-01-2018,01:00:00,02:00:00,8,27,0
Lights,1,2,204,indoor,1604,06-01-2018,06:00:00,07:00:00,2,27,0
Lights,1,2,204,indoor,1032,07-01-2018,01:00:00,02:00:00,5,15,1
Microwave,1,2,204,indoor,1229,23-01-2018,09:00:00,10:00:00,3,10,1
Microwave,1,2,204,indoor,1273,23-01-2018,16:00:00,17:00:00,8,20,1
Microwave,1,2,204,indoor,1102,23-01-2018,19:00:00,20:00:00,4,28,1
Microwave,1,2,204,indoor,1838,25-01-2018,22:00:00,23:00:00,2,7,0
Microwave,1,2,204,indoor,1647,26-01-2018,22:00:00,23:00:00,3,23,0
Refridgerator,1,2,204,indoor,151,14-01-2018,08:00:00,09:00:00,8,16,1
Refridgerator,1,2,204,indoor,278,16-01-2018,03:00:00,04:00:00,3,13,0
Television,1,2,204,indoor,251,13-01-2018,04:00:00,05:00:00,8,18,1
Television,1,2,204,indoor,233,13-01-2018,13:00:00,14:00:00,0,0,1
AC,1,2,205,indoor,1304,01-01-2018,15:00:00,16:00:00,4,24,1
Heater,1,2,205,indoor,1596,20-01-2018,07:00:00,08:00:00,0,0,1
Lights,1,2,205,indoor,1332,05-01-2018,19:00:00,20:00:00,7,15,1
Lights,1,2,205,indoor,1829,06-01-2018,15:00:00,16:00:00,5,18,0
Refridgerator,1,2,205,indoor,247,16-01-2018,11:00:00,12:00:00,7,15,0
Television,1,2,205,indoor,254,10-01-2018,12:00:00,13:00:00,6,22,0
Television,1,2,205,indoor,242,11-01-2018,11:00:00,12:00:00,7,22,0
Computer,1,2,206,indoor,482,28-01-2018,18:00:00,19:00:00,7,24,0
Heater,1,2,206,indoor,2588,19-01-2018,21:00:00,22:00:00,2,24,0
Refridgerator,1,2,206,indoor,142,17-01-2018,21:00:00,22:00:00,1,29,1
Television,1,2,206,indoor,292,13-01-2018,07:00:00,08:00:00,1,23,0
AC,1,2,207,indoor,1565,04-01-2018,22:00:00,23:00:00,4,14,0
Computer,1,2,207,indoor,325,31-01-2018,14:00:00,15:00:00,10,27,1
Computer,1,2,207,indoor,323,31-01-2018,15:00:00,16:00:00,2,7,1
Heater,1,2,207,indoor,2812,21-01-2018,01:00:00,02:00:00,5,16,0
Heater,1,2,207,indoor,2747,22-01-2018,21:00:00,22:00:00,10,4,0
Lights,1,2,207,indoor,1290,06-01-2018,23:00:00,00:00:00,5,1,1
Lights,1,2,207,indoor,1961,07-01-2018,10:00:00,11:00:00,9,8,0
Lights,1,2,207,indoor,1164,07-01-2018,21:00:00,22:00:00,5,23,1
Lights,1,2,207,indoor,1993,09-01-2018,14:00:00,15:00:00,7,5,0
Microwave,1,2,207,indoor,1564,23-01-2018,12:00:00,13:00:00,0,0,0
Microwave,1,2,207,indoor,1741,24-01-2018,18:00:00,19:00:00,10,30,0
Microwave,1,2,207,indoor,1829,26-01-2018,15:00:00,16:00:00,7,28,0
Microwave,1,2,207,indoor,1002,27-01-2018,22:00:00,23:00:00,9,24,1
AC,1,2,0,outdoor,2531,01-01-2018,00:00:00,01:00:00,7,18,1
AC,1,2,0,outdoor,4551,01-01-2018,02:00:00,03:00:00,5,15,0
AC,1,2,0,outdoor,2316,01-01-2018,13:00:00,14:00:00,0,0,1
AC,1,2,0,outdoor,2985,01-01-2018,19:00:00,20:00:00,3,29,1
AC,1,2,0,outdoor,2960,02-01-2018,04:00:00,05:00:00,9,17,1
AC,1,2,0,outdoor,2824,02-01-2018,07:00:00,08:00:00,7,19,1
AC,1,2,0,outdoor,3307,02-01-2018,09:00:00,10:00:00,0,0,1
AC,1,2,0,outdoor,3455,02-01-2018,18:00:00,19:00:00,2,20,0
AC,1,2,0,outdoor,2298,03-01-2018,04:00:00,05:00:00,1,10,1
AC,1,2,0,outdoor,2045,03-01-2018,17:00:00,18:00:00,2,15,1
AC,1,2,0,outdoor,4460,03-01-2018,23:00:00,00:00:00,9,29,0
AC,1,2,0,outdoor,4344,04-01-2018,08:00:00,09:00:00,9,8,0
AC,1,2,0,outdoor,2781,05-01-2018,02:00:00,03:00:00,8,5,1
AC,1,2,0,outdoor,4034,05-01-2018,07:00:00,08:00:00,5,10,0
Computer,1,2,0,outdoor,328,28-01-2018,10:00:00,11:00:00,1,5,1
Computer,1,2,0,outdoor,424,29-01-2018,02:00:00,03:00:00,4,11,1
Computer,1,2,0,outdoor,445,29-01-2018,06:00:00,07:00:00,5,18,0
Computer,1,2,0,outdoor,391,29-01-2018,09:00:00,10:00:00,0,0,1
Computer,1,2,0,outdoor,429,29-01-2018,11:00:00,12:00:00,8,30,0
Computer,1,2,0,outdoor,380,29-01-2018,15:00:00,16:00:00,6,10,0
Computer,1,2,0,outdoor,377,29-01-2018,15:00:00,16:00:00,8,18,1
Computer,1,2,0,outdoor,391,29-01-2018,21:00:00,22:00:00,0,0,1
Computer,1,2,0,outdoor,329,29-01-2018,21:00:00,22:00:00,3,13,1
Computer,1,2,0,outdoor,494,31-01-2018,06:00:00,07:00:00,8,6,0
Computer,1,2,0,outdoor,377,31-01-2018,19:00:00,20:00:00,8,9,1
Heater,1,2,0,outdoor,2802,19-01-2018,00:00:00,01:00:00,6,15,0
Heater,1,2,0,outdoor,2169,19-01-2018,03:00:00,04:00:00,6,8,1
Heater,1,2,0,outdoor,2614,19-01-2018,12:00:00,13:00:00,4,17,0
Heater,1,2,0,outdoor,2538,19-01-2018,20:00:00,21:00:00,6,4,0
Heater,1,2,0,outdoor,1512,19-01-2018,22:00:00,23:00:00,0,0,1
Heater,1,2,0,outdoor,2586,20-01-2018,09:00:00,10:00:00,10,10,0
Heater,1,2,0,outdoor,1673,21-01-2018,06:00:00,07:00:00,3,17,1
Heater,1,2,0,outdoor,2301,21-01-2018,11:00:00,12:00:00,4,14,0
Heater,1,2,0,outdoor,1847,22-01-2018,00:00:00,01:00:00,10,20,1
Heater,1,2,0,outdoor,2635,22-01-2018,03:00:00,04:00:00,1,17,0
Heater,1,2,0,outdoor,2582,22-01-2018,09:00:00,10:00:00,3,28,0
Heater,1,2,0,outdoor,2709,22-01-2018,17:00:00,18:00:00,10,24,0
Lights,1,2,0,outdoor,2977,05-01-2018,01:00:00,02:00:00,10,7,1
Lights,1,2,0,outdoor,4750,05-01-2018,04:00:00,05:00:00,7,9,0
Lights,1,2,0,outdoor,2228,05-01-2018,11:00:00,12:00:00,6,8,1
Lights,1,2,0,outdoor,4783,06-01-2018,02:00:00,03:00:00,8,6,0
Lights,1,2,0,outdoor,3860,06-01-2018,13:00:00,14:00:00,3,12,0
Lights,1,2,0,outdoor,3575,07-01-2018,11:00:00,12:00:00,0,0,0
Lights,1,2,0,outdoor,4945,07-01-2018,20:00:00,21:00:00,10,11,0
Lights,1,2,0,outdoor,3575,08-01-2018,04:00:00,05:00:00,6,23,1
Lights,1,2,0,outdoor,2945,08-01-2018,13:00:00,14:00:00,9,12,1
Lights,1,2,0,outdoor,2948,08-01-2018,16:00:00,17:00:00,0,0,1
Lights,1,2,0,outdoor,4540,09-01-2018,00:00:00,01:00:00,8,16,0
Lights,1,2,0,outdoor,4122,09-01-2018,00:00:00,01:00:00,5,17,0
Lights,1,2,0,outdoor,2739,09-01-2018,06:00:00,07:00:00,9,15,1
Lights,1,2,0,outdoor,2423,09-01-2018,10:00:00,11:00:00,0,0,1
Lights,1,2,0,outdoor,4893,09-01-2018,15:00:00,16:00:00,1,2,0
Lights,1,2,0,outdoor,2443,09-01-2018,18:00:00,19:00:00,9,21,1
Microwave,1,2,0,outdoor,1159,23-01-2018,00:00:00,01:00:00,0,0,1
Microwave,1,2,0,outdoor,1042,23-01-2018,18:00:00,19:00:00,10,19,1
Microwave,1,2,0,outdoor,1724,24-01-2018,05:00:00,06:00:00,8,27,0
Microwave,1,2,0,outdoor,1464,24-01-2018,19:00:00,20:00:00,7,4,1
Microwave,1,2,0,outdoor,1023,25-01-2018,01:00:00,02:00:00,0,0,1
Microwave,1,2,0,outdoor,1695,25-01-2018,04:00:00,05:00:00,9,27,0
Microwave,1,2,0,outdoor,1144,27-01-2018,02:00:00,03:00:00,2,6,1
Microwave,1,2,0,outdoor,1579,27-01-2018,06:00:00,07:00:00,5,9,1
Microwave,1,2,0,outdoor,1118,27-01-2018,12:00:00,13:00:00,5,7,1
Microwave,1,2,0,outdoor,1470,27-01-2018,23:00:00,00:00:00,6,28,1
Refridgerator,1,2,0,outdoor,243,14-01-2018,05:00:00,06:00:00,0,0,0
Refridgerator,1,2,0,outdoor,142,14-01-2018,11:00:00,12:00:00,1,4,1
Refridgerator,1,2,0,outdoor,202,14-01-2018,17:00:00,18:00:00,4,10,0
Refridgerator,1,2,0,outdoor,110,15-01-2018,08:00:00,09:00:00,6,18,1
Refridgerator,1,2,0,outdoor,237,15-01-2018,11:00:00,12:00:00,6,25,0
