device,room,weather_type,date,from_time,to_time,time,no_of_people,time_stayed_mins,power,message,action
AC,100,very cold,03-01-2018,19:00:00,20:00:00,night,5,16,1499.34375,"Moving 5 people from room 100 to room 104 saves 1499.34375 of electricity, power consumption will reduce from 10410.6796875 to 8911.3359375",Turn off AC in room 100
AC,100,low hot,03-01-2018,22:00:00,23:00:00,night,3,28,1534.117188,"Moving 11 people from room 111 to room 117 saves 1492.15625 of electricity, power consumption will reduce from 10499.2578125 to 9007.1015625",Turn off AC in room 111
AC,100,low hot,04-01-2018,09:00:00,10:00:00,morning,11,11,1541.761719,"Moving 1 people from room 110 to room 100 saves 1488.06640625 of electricity, power consumption will reduce from 10686.15234375 to 9198.0859375",Turn off AC in room 110
AC,100,low hot,05-01-2018,07:00:00,08:00:00,morning,5,57,1522.582031,"Moving 13 people from room 116 to room 115 saves 1473.8203125 of electricity, power consumption will reduce from 10341.72265625 to 8867.90234375",Turn off Lights in room 116
AC,100,very hot,05-01-2018,08:00:00,09:00:00,morning,1,53,1532.714844,"Moving 6 people from room 105 to room 104 saves 1465.8125 of electricity, power consumption will reduce from 10397.359375 to 8931.546875",Turn off Lights in room 105
AC,100,hot,05-01-2018,09:00:00,10:00:00,morning,10,30,1517.277344,"Moving 1 people from room 110 to room 103 saves 1470.2578125 of electricity, power consumption will reduce from 10488.27734375 to 9018.01953125",Turn off AC in room 110
AC,100,cold,05-01-2018,11:00:00,12:00:00,morning,13,15,1468.140625,"Moving 8 people from room 114 to room 115 saves 1455.51171875 of electricity, power consumption will reduce from 10249.328125 to 8793.81640625",Turn off AC in room 114
AC,100,low cold,05-01-2018,13:00:00,14:00:00,afternoon,1,35,1529.4375,"Moving 9 people from room 107 to room 112 saves 1521.6328125 of electricity, power consumption will reduce from 10603.03515625 to 9081.40234375",Turn off Lights in room 107
AC,100,cold,05-01-2018,19:00:00,20:00:00,night,5,23,1495.496094,"Moving 5 people from room 100 to room 102 saves 1495.49609375 of electricity, power consumption will reduce from 10304.33203125 to 8808.8359375",Turn off AC in room 100
Computer,100,hot,27-01-2018,15:00:00,16:00:00,afternoon,13,25,411.5234375,"Moving 13 people from room 100 to room 109 saves 411.5234375 of electricity, power consumption will reduce from 7378.671875 to 6967.1484375",Turn off Computer in room 100
Computer,100,low hot,27-01-2018,17:00:00,18:00:00,evening,6,58,410.5664063,"Moving 3 people from room 106 to room 109 saves 377.6796875 of electricity, power consumption will reduce from 7226.87890625 to 6849.19921875",Turn off Computer in room 106
Computer,100,low hot,28-01-2018,00:00:00,01:00:00,midnight,5,44,453.3164063,"Moving 5 people from room 118 to room 104 saves 423.46484375 of electricity, power consumption will reduce from 2876.36328125 to 2452.8984375",Turn off Computer in room 118
Computer,100,cold,28-01-2018,02:00:00,03:00:00,midnight,4,43,430.09375,"Moving 3 people from room 104 to room 117 saves 405.765625 of electricity, power consumption will reduce from 2925.8984375 to 2520.1328125",Turn off Computer in room 104
Computer,100,very cold,28-01-2018,08:00:00,09:00:00,morning,7,50,432.71875,"Moving 9 people from room 117 to room 115 saves 428.1875 of electricity, power consumption will reduce from 2972.41015625 to 2544.22265625",Turn off Computer in room 117
Computer,100,low hot,28-01-2018,11:00:00,12:00:00,morning,6,28,425.625,"Moving 3 people from room 114 to room 113 saves 417.75390625 of electricity, power consumption will reduce from 2788.26953125 to 2370.515625",Turn off Computer in room 114
Computer,100,very cold,28-01-2018,14:00:00,15:00:00,afternoon,6,23,389.0273438,None,Turn off Computer in room 102
Computer,100,cold,28-01-2018,15:00:00,16:00:00,afternoon,2,52,412.5234375,"Moving 8 people from room 100 to room 100 saves 422.390625 of electricity, power consumption will reduce from 2881.546875 to 2459.15625",Turn off Computer in room 100
Computer,100,hot,28-01-2018,15:00:00,16:00:00,afternoon,11,43,420.6523438,"Moving 8 people from room 100 to room 100 saves 422.390625 of electricity, power consumption will reduce from 2881.546875 to 2459.15625",Turn off Computer in room 100
Computer,100,hot,28-01-2018,15:00:00,16:00:00,afternoon,8,49,422.390625,"Moving 8 people from room 100 to room 100 saves 422.390625 of electricity, power consumption will reduce from 2881.546875 to 2459.15625",Turn off Computer in room 100
Computer,100,cold,28-01-2018,20:00:00,21:00:00,night,3,2,388.2578125,"Moving 15 people from room 101 to room 115 saves 412.87890625 of electricity, power consumption will reduce from 2655.28515625 to 2242.40625",Turn off Computer in room 101
Computer,100,low cold,28-01-2018,21:00:00,22:00:00,night,7,34,458.390625,"Moving 7 people from room 104 to room 109 saves 415.296875 of electricity, power consumption will reduce from 2997.23046875 to 2581.93359375",Turn off Computer in room 104
Computer,100,low cold,28-01-2018,21:00:00,22:00:00,night,9,45,460.7851563,"Moving 7 people from room 104 to room 109 saves 415.296875 of electricity, power consumption will reduce from 2997.23046875 to 2581.93359375",Turn off Computer in room 104
Computer,100,low cold,29-01-2018,04:00:00,05:00:00,early morning,12,49,451.9882813,"Moving 1 people from room 117 to room 103 saves 427.94921875 of electricity, power consumption will reduce from 2980.171875 to 2552.22265625",Turn off Computer in room 117
Computer,100,cold,29-01-2018,08:00:00,09:00:00,morning,11,41,422.1992188,"Moving 7 people from room 113 to room 115 saves 421.28515625 of electricity, power consumption will reduce from 2891.9375 to 2470.65234375",Turn off Computer in room 113
Computer,100,low cold,29-01-2018,11:00:00,12:00:00,morning,5,5,408.96875,"Moving 3 people from room 107 to room 118 saves 427.92578125 of electricity, power consumption will reduce from 2838.99609375 to 2411.0703125",Turn off Computer in room 107
Computer,100,cold,29-01-2018,19:00:00,20:00:00,night,13,26,414.2773438,"Moving 4 people from room 110 to room 109 saves 413.03125 of electricity, power consumption will reduce from 2812.97265625 to 2399.94140625",Turn off Computer in room 110
Computer,100,very hot,29-01-2018,22:00:00,23:00:00,night,1,36,448.359375,"Moving 1 people from room 100 to room 107 saves 448.359375 of electricity, power consumption will reduce from 2976.01171875 to 2527.65234375",Turn off Computer in room 100
Computer,100,hot,30-01-2018,00:00:00,01:00:00,midnight,6,55,441.90625,None,Turn off Computer in room 106
Computer,100,very cold,30-01-2018,17:00:00,18:00:00,evening,4,32,383.6445313,"Moving 2 people from room 106 to room 108 saves 378.63671875 of electricity, power consumption will reduce from 2597.0859375 to 2218.44921875",Turn off Computer in room 106
Computer,100,low cold,30-01-2018,21:00:00,22:00:00,night,13,46,461.7695313,"Moving 4 people from room 115 to room 103 saves 425.54296875 of electricity, power consumption will reduce from 3041.875 to 2616.33203125",Turn off Computer in room 115
Computer,100,low cold,30-01-2018,22:00:00,23:00:00,night,4,12,449.9101563,"Moving 6 people from room 114 to room 100 saves 437.4765625 of electricity, power consumption will reduce from 3006.3828125 to 2568.90625",Turn off Computer in room 114
Computer,100,low hot,30-01-2018,22:00:00,23:00:00,night,8,36,458.015625,"Moving 6 people from room 114 to room 100 saves 437.4765625 of electricity, power consumption will reduce from 3006.3828125 to 2568.90625",Turn off Computer in room 114
Computer,100,very hot,31-01-2018,05:00:00,06:00:00,early morning,1,56,428.5585938,"Moving 1 people from room 100 to room 113 saves 428.55859375 of electricity, power consumption will reduce from 2809.515625 to 2380.95703125",Turn off Computer in room 100
Computer,100,low cold,31-01-2018,14:00:00,15:00:00,afternoon,9,18,397.3320313,"Moving 3 people from room 111 to room 105 saves 355.65625 of electricity, power consumption will reduce from 2517.04296875 to 2161.38671875",Turn off Computer in room 111
Computer,100,very hot,31-01-2018,16:00:00,17:00:00,evening,0,0,393.4492188,None,Turn off Computer in room 100
Computer,100,low cold,31-01-2018,20:00:00,21:00:00,night,4,54,409.7734375,"Moving 3 people from room 116 to room 104 saves 351.0390625 of electricity, power consumption will reduce from 2586.171875 to 2235.1328125",Turn off Computer in room 116
Computer,100,very hot,31-01-2018,21:00:00,22:00:00,night,6,9,440.5,"Moving 6 people from room 100 to room 119 saves 440.5 of electricity, power consumption will reduce from 2863.9453125 to 2423.4453125",Turn off Computer in room 100
Computer,100,low cold,31-01-2018,22:00:00,23:00:00,night,4,13,434.8359375,"Moving 9 people from room 118 to room 101 saves 429.90234375 of electricity, power consumption will reduce from 2982.3515625 to 2552.44921875",Turn off Computer in room 118
Computer,100,cold,31-01-2018,22:00:00,23:00:00,night,2,43,418.7109375,"Moving 9 people from room 118 to room 101 saves 429.90234375 of electricity, power consumption will reduce from 2982.3515625 to 2552.44921875",Turn off Computer in room 118
Heater,100,cold,18-01-2018,15:00:00,16:00:00,afternoon,7,48,2380.890625,"Moving 5 people from room 117 to room 112 saves 200.96484375 of electricity, power consumption will reduce from 5676.0859375 to 5475.12109375",Turn off Refridgerator in room 117
Heater,100,very cold,19-01-2018,04:00:00,05:00:00,early morning,9,16,2242.515625,"Moving 8 people from room 102 to room 101 saves 2213.31640625 of electricity, power consumption will reduce from 15661.37890625 to 13448.0625",Turn off Heater in room 102
Heater,100,very cold,19-01-2018,06:00:00,07:00:00,early morning,14,34,2211.976563,"Moving 1 people from room 107 to room 113 saves 2248.2265625 of electricity, power consumption will reduce from 15433.29296875 to 13185.06640625",Turn off Heater in room 107
Heater,100,hot,19-01-2018,09:00:00,10:00:00,morning,9,2,2251.652344,"Moving 9 people from room 100 to room 107 saves 2251.65234375 of electricity, power consumption will reduce from 15656.18359375 to 13404.53125",Turn off Heater in room 100
Heater,100,hot,19-01-2018,13:00:00,14:00:00,afternoon,5,31,2256.730469,"Moving 5 people from room 100 to room 115 saves 2256.73046875 of electricity, power consumption will reduce from 15654.64453125 to 13397.9140625",Turn off Heater in room 100
Heater,100,cold,19-01-2018,13:00:00,14:00:00,afternoon,4,29,2245.152344,"Moving 5 people from room 100 to room 115 saves 2256.73046875 of electricity, power consumption will reduce from 15654.64453125 to 13397.9140625",Turn off Heater in room 100
Heater,100,cold,19-01-2018,15:00:00,16:00:00,afternoon,9,23,2218.425781,"Moving 5 people from room 101 to room 119 saves 2233.73046875 of electricity, power consumption will reduce from 15491.1328125 to 13257.40234375",Turn off Heater in room 101
Heater,100,very cold,19-01-2018,16:00:00,17:00:00,evening,8,33,2202.058594,"Moving 12 people from room 101 to room 114 saves 2208.02734375 of electricity, power consumption will reduce from 15395.30078125 to 13187.2734375",Turn off Heater in room 101
Heater,100,cold,19-01-2018,17:00:00,18:00:00,evening,1,44,2199.664063,"Moving 15 people from room 117 to room 110 saves 2200.00390625 of electricity, power consumption will reduce from 15384.74609375 to 13184.7421875",Turn off Heater in room 117
Heater,100,cold,19-01-2018,19:00:00,20:00:00,night,11,28,2236.953125,"Moving 13 people from room 110 to room 102 saves 2233.6484375 of electricity, power consumption will reduce from 15585.7421875 to 13352.09375",Turn off Heater in room 110
Heater,100,low hot,19-01-2018,20:00:00,21:00:00,night,8,10,2229.429688,"Moving 2 people from room 103 to room 106 saves 2200.75 of electricity, power consumption will reduce from 15364.3984375 to 13163.6484375",Turn off Heater in room 103
Heater,100,low hot,19-01-2018,21:00:00,22:00:00,night,8,20,2271.316406,"Moving 2 people from room 115 to room 102 saves 2239.765625 of electricity, power consumption will reduce from 15685.38671875 to 13445.62109375",Turn off Heater in room 115
Heater,100,very hot,19-01-2018,22:00:00,23:00:00,night,3,50,2273.457031,"Moving 3 people from room 100 to room 104 saves 2273.45703125 of electricity, power consumption will reduce from 15664.80078125 to 13391.34375",Turn off Heater in room 100
Heater,100,very hot,20-01-2018,00:00:00,01:00:00,midnight,15,1,2297.898438,None,Turn off Heater in room 118
Heater,100,very cold,20-01-2018,01:00:00,02:00:00,midnight,7,29,2245.988281,"Moving 6 people from room 112 to room 104 saves 2253.49609375 of electricity, power consumption will reduce from 15649.63671875 to 13396.140625",Turn off Heater in room 112
Heater,100,very hot,20-01-2018,05:00:00,06:00:00,early morning,13,7,2286.414063,"Moving 13 people from room 100 to room 101 saves 2286.4140625 of electricity, power consumption will reduce from 15814.84765625 to 13528.43359375",Turn off Heater in room 100
Heater,100,very cold,20-01-2018,07:00:00,08:00:00,morning,15,4,2266.140625,"Moving 5 people from room 104 to room 105 saves 2259.42578125 of electricity, power consumption will reduce from 15821.9296875 to 13562.50390625",Turn off Heater in room 104
Heater,100,cold,20-01-2018,08:00:00,09:00:00,morning,13,26,2283.484375,"Moving 8 people from room 107 to room 106 saves 2325.06640625 of electricity, power consumption will reduce from 15970.46484375 to 13645.3984375",Turn off Heater in room 107
Heater,100,very cold,20-01-2018,10:00:00,11:00:00,morning,1,9,2240.375,"Moving 1 people from room 111 to room 105 saves 2249.0078125 of electricity, power consumption will reduce from 15648.7109375 to 13399.703125",Turn off Heater in room 111
Heater,100,very cold,20-01-2018,15:00:00,16:00:00,afternoon,1,18,2260.640625,"Moving 15 people from room 119 to room 118 saves 2275.73046875 of electricity, power consumption will reduce from 15826.9296875 to 13551.19921875",Turn off Heater in room 119
Heater,100,low cold,20-01-2018,16:00:00,17:00:00,evening,15,54,2273.3125,"Moving 14 people from room 114 to room 103 saves 2258.58984375 of electricity, power consumption will reduce from 15651.76953125 to 13393.1796875",Turn off Heater in room 114
Heater,100,very cold,20-01-2018,18:00:00,19:00:00,evening,4,9,2283.914063,"Moving 4 people from room 115 to room 104 saves 2283.3046875 of electricity, power consumption will reduce from 15921.6328125 to 13638.328125",Turn off Heater in room 115
Heater,100,low hot,21-01-2018,01:00:00,02:00:00,midnight,1,43,2213.253906,"Moving 7 people from room 119 to room 113 saves 2202.15625 of electricity, power consumption will reduce from 15282.09765625 to 13079.94140625",Turn off Heater in room 119
Heater,100,low hot,21-01-2018,03:00:00,04:00:00,midnight,2,3,2222.839844,"Moving 2 people from room 117 to room 100 saves 2203.57421875 of electricity, power consumption will reduce from 15345.19140625 to 13141.6171875",Turn off Heater in room 117
Heater,100,cold,21-01-2018,03:00:00,04:00:00,midnight,11,29,2201.761719,"Moving 2 people from room 117 to room 100 saves 2203.57421875 of electricity, power consumption will reduce from 15345.19140625 to 13141.6171875",Turn off Heater in room 117
Heater,100,cold,21-01-2018,14:00:00,15:00:00,afternoon,8,37,2185.738281,"Moving 4 people from room 118 to room 104 saves 2195.24609375 of electricity, power consumption will reduce from 15211.92578125 to 13016.6796875",Turn off Heater in room 118
Heater,100,cold,21-01-2018,15:00:00,16:00:00,afternoon,10,19,2196.953125,"Moving 2 people from room 112 to room 101 saves 2218.53515625 of electricity, power consumption will reduce from 15291.5703125 to 13073.03515625",Turn off Heater in room 112
Heater,100,very hot,21-01-2018,16:00:00,17:00:00,evening,9,49,2211.359375,None,Turn off Heater in room 108
Heater,100,low cold,21-01-2018,16:00:00,17:00:00,evening,6,58,2211.726563,None,Turn off Heater in room 108
Heater,100,low hot,21-01-2018,17:00:00,18:00:00,evening,13,26,2200.003906,"Moving 2 people from room 105 to room 101 saves 2174.390625 of electricity, power consumption will reduce from 15216.23828125 to 13041.84765625",Turn off Heater in room 105
Heater,100,hot,21-01-2018,19:00:00,20:00:00,night,0,0,2222.265625,"Moving 2 people from room 117 to room 100 saves 2219.046875 of electricity, power consumption will reduce from 15448.01953125 to 13228.97265625",Turn off Heater in room 117
Heater,100,low cold,22-01-2018,02:00:00,03:00:00,midnight,0,0,2247.558594,None,Turn off Heater in room 101
Heater,100,low hot,22-01-2018,04:00:00,05:00:00,early morning,4,16,2260.109375,"Moving 1 people from room 102 to room 115 saves 2200.0625 of electricity, power consumption will reduce from 15583.203125 to 13383.140625",Turn off Heater in room 102
Heater,100,low cold,22-01-2018,05:00:00,06:00:00,early morning,6,8,2232.515625,"Moving 6 people from room 109 to room 100 saves 2216.45703125 of electricity, power consumption will reduce from 15536.0078125 to 13319.55078125",Turn off Heater in room 109
Heater,100,cold,22-01-2018,05:00:00,06:00:00,early morning,1,31,2215.050781,"Moving 6 people from room 109 to room 100 saves 2216.45703125 of electricity, power consumption will reduce from 15536.0078125 to 13319.55078125",Turn off Heater in room 109
Heater,100,low cold,22-01-2018,05:00:00,06:00:00,early morning,2,1,2231.28125,"Moving 6 people from room 109 to room 100 saves 2216.45703125 of electricity, power consumption will reduce from 15536.0078125 to 13319.55078125",Turn off Heater in room 109
Heater,100,very hot,22-01-2018,08:00:00,09:00:00,morning,11,8,2252.167969,"Moving 11 people from room 100 to room 107 saves 2252.16796875 of electricity, power consumption will reduce from 15572.25 to 13320.08203125",Turn off Heater in room 100
Heater,100,cold,22-01-2018,09:00:00,10:00:00,morning,13,7,2231.484375,"Moving 5 people from room 103 to room 105 saves 2226.453125 of electricity, power consumption will reduce from 15577.46484375 to 13351.01171875",Turn off Heater in room 103
Heater,100,low cold,22-01-2018,15:00:00,16:00:00,afternoon,2,49,2239.054688,"Moving 11 people from room 105 to room 100 saves 2201.37109375 of electricity, power consumption will reduce from 15503.0859375 to 13301.71484375",Turn off Heater in room 105
Heater,100,hot,22-01-2018,15:00:00,16:00:00,afternoon,3,28,2221.730469,"Moving 11 people from room 105 to room 100 saves 2201.37109375 of electricity, power consumption will reduce from 15503.0859375 to 13301.71484375",Turn off Heater in room 105
Heater,100,cold,22-01-2018,16:00:00,17:00:00,evening,8,39,2194.261719,"Moving 1 people from room 115 to room 117 saves 2167.19921875 of electricity, power consumption will reduce from 15288.71484375 to 13121.515625",Turn off Heater in room 115
Heater,100,cold,22-01-2018,19:00:00,20:00:00,night,0,0,2221.75,None,Turn off Heater in room 111
Heater,100,very cold,22-01-2018,19:00:00,20:00:00,night,3,40,2230.40625,None,Turn off Heater in room 111
Heater,100,very hot,22-01-2018,21:00:00,22:00:00,night,1,13,2259.914063,"Moving 1 people from room 100 to room 101 saves 2259.9140625 of electricity, power consumption will reduce from 15610.5703125 to 13350.65625",Turn off Heater in room 100
Heater,100,low hot,23-01-2018,04:00:00,05:00:00,early morning,2,38,2187.769531,"Moving 2 people from room 108 to room 111 saves 1522.8984375 of electricity, power consumption will reduce from 11219.140625 to 9696.2421875",Turn off Microwave in room 108
Heater,100,very cold,23-01-2018,14:00:00,15:00:00,afternoon,7,9,2111.636719,"Moving 10 people from room 112 to room 105 saves 1496.7890625 of electricity, power consumption will reduce from 10889.66796875 to 9392.87890625",Turn off Microwave in room 112
Lights,100,very hot,05-01-2018,01:00:00,02:00:00,midnight,11,35,1489.394531,"Moving 1 people from room 102 to room 107 saves 1419.54296875 of electricity, power consumption will reduce from 10270.6796875 to 8851.13671875",Turn off AC in room 102
Lights,100,very hot,05-01-2018,03:00:00,04:00:00,midnight,15,35,1508.148438,"Moving 13 people from room 117 to room 108 saves 1459.6953125 of electricity, power consumption will reduce from 10331.35546875 to 8871.66015625",Turn off AC in room 117
Lights,100,low cold,05-01-2018,05:00:00,06:00:00,early morning,4,11,1502.59375,None,Turn off AC in room 105
Lights,100,very hot,05-01-2018,06:00:00,07:00:00,early morning,2,39,1499.886719,None,Turn off AC in room 113
Lights,100,low hot,05-01-2018,17:00:00,18:00:00,evening,11,8,1475.796875,"Moving 5 people from room 102 to room 112 saves 1402.36328125 of electricity, power consumption will reduce from 10137.4921875 to 8735.12890625",Turn off AC in room 102
Lights,100,very cold,05-01-2018,17:00:00,18:00:00,evening,7,23,1452.976563,"Moving 5 people from room 102 to room 112 saves 1402.36328125 of electricity, power consumption will reduce from 10137.4921875 to 8735.12890625",Turn off AC in room 102
Lights,100,very hot,05-01-2018,20:00:00,21:00:00,night,11,35,1493.707031,"Moving 2 people from room 107 to room 115 saves 1484.9921875 of electricity, power consumption will reduce from 10283.2109375 to 8798.21875",Turn off AC in room 107
Lights,100,low hot,06-01-2018,06:00:00,07:00:00,early morning,4,38,1512.835938,"Moving 6 people from room 109 to room 118 saves 1486.625 of electricity, power consumption will reduce from 10435.6484375 to 8949.0234375",Turn off Lights in room 109
Lights,100,very cold,06-01-2018,10:00:00,11:00:00,morning,10,7,1467.964844,"Moving 8 people from room 108 to room 115 saves 1485.109375 of electricity, power consumption will reduce from 10295.16796875 to 8810.05859375",Turn off Lights in room 108
Lights,100,low hot,06-01-2018,13:00:00,14:00:00,afternoon,0,0,1537.058594,"Moving 6 people from room 118 to room 119 saves 1519.046875 of electricity, power consumption will reduce from 10580.20703125 to 9061.16015625",Turn off Lights in room 118
Lights,100,very hot,06-01-2018,14:00:00,15:00:00,afternoon,1,53,1508.285156,"Moving 2 people from room 115 to room 112 saves 1475.625 of electricity, power consumption will reduce from 10381.65625 to 8906.03125",Turn off Lights in room 115
Lights,100,cold,06-01-2018,16:00:00,17:00:00,evening,8,36,1475.347656,"Moving 8 people from room 100 to room 112 saves 1475.34765625 of electricity, power consumption will reduce from 10232.08203125 to 8756.734375",Turn off Lights in room 100
Lights,100,cold,06-01-2018,17:00:00,18:00:00,evening,7,42,1470.628906,"Moving 7 people from room 100 to room 107 saves 1470.62890625 of electricity, power consumption will reduce from 10287.03125 to 8816.40234375",Turn off Lights in room 100
Lights,100,hot,06-01-2018,17:00:00,18:00:00,evening,4,38,1481.207031,"Moving 7 people from room 100 to room 107 saves 1470.62890625 of electricity, power consumption will reduce from 10287.03125 to 8816.40234375",Turn off Lights in room 100
Lights,100,cold,06-01-2018,19:00:00,20:00:00,night,15,40,1511.449219,"Moving 15 people from room 100 to room 113 saves 1511.44921875 of electricity, power consumption will reduce from 10595.02734375 to 9083.578125",Turn off Lights in room 100
Lights,100,low hot,06-01-2018,19:00:00,20:00:00,night,3,2,1529.988281,"Moving 15 people from room 100 to room 113 saves 1511.44921875 of electricity, power consumption will reduce from 10595.02734375 to 9083.578125",Turn off Lights in room 100
Lights,100,cold,06-01-2018,22:00:00,23:00:00,night,9,57,1521.027344,"Moving 9 people from room 100 to room 119 saves 1521.02734375 of electricity, power consumption will reduce from 10623.58203125 to 9102.5546875",Turn off Lights in room 100
Lights,100,very hot,06-01-2018,23:00:00,00:00:00,midnight,5,21,1537.03125,"Moving 5 people from room 111 to room 114 saves 1494.3046875 of electricity, power consumption will reduce from 10537.35546875 to 9043.05078125",Turn off Lights in room 111
Lights,100,hot,07-01-2018,01:00:00,02:00:00,midnight,7,54,1519.726563,"Moving 14 people from room 101 to room 107 saves 1502.4140625 of electricity, power consumption will reduce from 10549.9375 to 9047.5234375",Turn off Lights in room 101
Lights,100,very cold,07-01-2018,02:00:00,03:00:00,midnight,0,0,1532.480469,None,Turn off Lights in room 117
Lights,100,very hot,07-01-2018,05:00:00,06:00:00,early morning,2,19,1546.5,None,Turn off Lights in room 100
Lights,100,low cold,07-01-2018,05:00:00,06:00:00,early morning,0,0,1540.128906,None,Turn off Lights in room 100
Lights,100,hot,07-01-2018,09:00:00,10:00:00,morning,0,0,1551.277344,None,Turn off Lights in room 118
