device,weather_type,time,priority,order
Computer,low cold,night,20,312
Computer,low cold,midnight,20,313
Computer,cold,early morning,20,314
Computer,cold,morning,20,315
Computer,cold,afternoon,20,316
Computer,cold,evening,20,317
Computer,cold,night,20,318
Computer,cold,midnight,20,319
Computer,very cold,early morning,20,320
Computer,very cold,morning,20,321
Computer,very cold,afternoon,20,322
Computer,very cold,evening,20,323
Computer,very cold,night,20,324
Computer,very cold,midnight,20,325
Computer,low hot,early morning,20,326
Computer,low hot,morning,20,327
Computer,low hot,afternoon,20,328
Computer,low hot,evening,20,329
Computer,low hot,night,20,330
Computer,low hot,midnight,20,331
Computer,hot,early morning,20,332
Computer,hot,morning,20,333
Computer,hot,afternoon,20,334
Computer,hot,evening,20,335
Computer,hot,night,20,336
Computer,hot,midnight,20,337
Computer,very hot,early morning,20,338
Computer,very hot,morning,20,339
Computer,very hot,afternoon,20,340
Computer,very hot,evening,20,341
Computer,very hot,night,20,342
Computer,very hot,midnight,20,343
